x 	 psi_0 (x) 
-3.000000 	 0.000070 
-2.970000 	 0.000083 
-2.940000 	 0.000099 
-2.910000 	 0.000119 
-2.880000 	 0.000141 
-2.850000 	 0.000167 
-2.820000 	 0.000198 
-2.790000 	 0.000235 
-2.760000 	 0.000277 
-2.730000 	 0.000327 
-2.700000 	 0.000385 
-2.670000 	 0.000452 
-2.640000 	 0.000530 
-2.610000 	 0.000621 
-2.580000 	 0.000725 
-2.550000 	 0.000846 
-2.520000 	 0.000985 
-2.490000 	 0.001145 
-2.460000 	 0.001328 
-2.430000 	 0.001538 
-2.400000 	 0.001778 
-2.370000 	 0.002051 
-2.340000 	 0.002363 
-2.310000 	 0.002716 
-2.280000 	 0.003117 
-2.250000 	 0.003571 
-2.220000 	 0.004084 
-2.190000 	 0.004661 
-2.160000 	 0.005311 
-2.130000 	 0.006041 
-2.100000 	 0.006858 
-2.070000 	 0.007772 
-2.040000 	 0.008792 
-2.010000 	 0.009927 
-1.980000 	 0.011190 
-1.950000 	 0.012590 
-1.920000 	 0.014140 
-1.890000 	 0.015852 
-1.860000 	 0.017739 
-1.830000 	 0.019816 
-1.800000 	 0.022096 
-1.770000 	 0.024594 
-1.740000 	 0.027325 
-1.710000 	 0.030304 
-1.680000 	 0.033548 
-1.650000 	 0.037073 
-1.620000 	 0.040894 
-1.590000 	 0.045028 
-1.560000 	 0.049491 
-1.530000 	 0.054298 
-1.500000 	 0.059465 
-1.470000 	 0.065007 
-1.440000 	 0.070937 
-1.410000 	 0.077269 
-1.380000 	 0.084015 
-1.350000 	 0.091185 
-1.320000 	 0.098789 
-1.290000 	 0.106836 
-1.260000 	 0.115329 
-1.230000 	 0.124274 
-1.200000 	 0.133672 
-1.170000 	 0.143522 
-1.140000 	 0.153821 
-1.110000 	 0.164562 
-1.080000 	 0.175737 
-1.050000 	 0.187333 
-1.020000 	 0.199336 
-0.990000 	 0.211725 
-0.960000 	 0.224481 
-0.930000 	 0.237577 
-0.900000 	 0.250984 
-0.870000 	 0.264672 
-0.840000 	 0.278604 
-0.810000 	 0.292742 
-0.780000 	 0.307044 
-0.750000 	 0.321466 
-0.720000 	 0.335959 
-0.690000 	 0.350475 
-0.660000 	 0.364961 
-0.630000 	 0.379362 
-0.600000 	 0.393622 
-0.570000 	 0.407683 
-0.540000 	 0.421488 
-0.510000 	 0.434976 
-0.480000 	 0.448088 
-0.450000 	 0.460766 
-0.420000 	 0.472950 
-0.390000 	 0.484584 
-0.360000 	 0.495611 
-0.330000 	 0.505977 
-0.300000 	 0.515630 
-0.270000 	 0.524524 
-0.240000 	 0.532610 
-0.210000 	 0.539849 
-0.180000 	 0.546203 
-0.150000 	 0.551637 
-0.120000 	 0.556123 
-0.090000 	 0.559638 
-0.060000 	 0.562162 
-0.030000 	 0.563682 
-0.000000 	 0.564190 
0.030000 	 0.563682 
0.060000 	 0.562162 
0.090000 	 0.559638 
0.120000 	 0.556123 
0.150000 	 0.551637 
0.180000 	 0.546203 
0.210000 	 0.539849 
0.240000 	 0.532610 
0.270000 	 0.524524 
0.300000 	 0.515630 
0.330000 	 0.505977 
0.360000 	 0.495611 
0.390000 	 0.484584 
0.420000 	 0.472950 
0.450000 	 0.460766 
0.480000 	 0.448088 
0.510000 	 0.434976 
0.540000 	 0.421488 
0.570000 	 0.407683 
0.600000 	 0.393622 
0.630000 	 0.379362 
0.660000 	 0.364961 
0.690000 	 0.350475 
0.720000 	 0.335959 
0.750000 	 0.321466 
0.780000 	 0.307044 
0.810000 	 0.292742 
0.840000 	 0.278604 
0.870000 	 0.264672 
0.900000 	 0.250984 
0.930000 	 0.237577 
0.960000 	 0.224481 
0.990000 	 0.211725 
1.020000 	 0.199336 
1.050000 	 0.187333 
1.080000 	 0.175737 
1.110000 	 0.164562 
1.140000 	 0.153821 
1.170000 	 0.143522 
1.200000 	 0.133672 
1.230000 	 0.124274 
1.260000 	 0.115329 
1.290000 	 0.106836 
1.320000 	 0.098789 
1.350000 	 0.091185 
1.380000 	 0.084015 
1.410000 	 0.077269 
1.440000 	 0.070937 
1.470000 	 0.065007 
1.500000 	 0.059465 
1.530000 	 0.054298 
1.560000 	 0.049491 
1.590000 	 0.045028 
1.620000 	 0.040894 
1.650000 	 0.037073 
1.680000 	 0.033548 
1.710000 	 0.030304 
1.740000 	 0.027325 
1.770000 	 0.024594 
1.800000 	 0.022096 
1.830000 	 0.019816 
1.860000 	 0.017739 
1.890000 	 0.015852 
1.920000 	 0.014140 
1.950000 	 0.012590 
1.980000 	 0.011190 
2.010000 	 0.009927 
2.040000 	 0.008792 
2.070000 	 0.007772 
2.100000 	 0.006858 
2.130000 	 0.006041 
2.160000 	 0.005311 
2.190000 	 0.004661 
2.220000 	 0.004084 
2.250000 	 0.003571 
2.280000 	 0.003117 
2.310000 	 0.002716 
2.340000 	 0.002363 
2.370000 	 0.002051 
2.400000 	 0.001778 
2.430000 	 0.001538 
2.460000 	 0.001328 
2.490000 	 0.001145 
2.520000 	 0.000985 
2.550000 	 0.000846 
2.580000 	 0.000725 
2.610000 	 0.000621 
2.640000 	 0.000530 
2.670000 	 0.000452 
2.700000 	 0.000385 
2.730000 	 0.000327 
2.760000 	 0.000277 
2.790000 	 0.000235 
2.820000 	 0.000198 
2.850000 	 0.000167 
2.880000 	 0.000141 
2.910000 	 0.000119 
2.940000 	 0.000099 
2.970000 	 0.000083 
