x 	 psi_0 (x) 
-1.000000 	 0.000000 
-0.990000 	 0.000247 
-0.980000 	 0.000987 
-0.970000 	 0.002219 
-0.960000 	 0.003943 
-0.950000 	 0.006156 
-0.940000 	 0.008856 
-0.930000 	 0.012042 
-0.920000 	 0.015708 
-0.910000 	 0.019853 
-0.900000 	 0.024472 
-0.890000 	 0.029560 
-0.880000 	 0.035112 
-0.870000 	 0.041123 
-0.860000 	 0.047586 
-0.850000 	 0.054497 
-0.840000 	 0.061847 
-0.830000 	 0.069629 
-0.820000 	 0.077836 
-0.810000 	 0.086460 
-0.800000 	 0.095492 
-0.790000 	 0.104922 
-0.780000 	 0.114743 
-0.770000 	 0.124944 
-0.760000 	 0.135516 
-0.750000 	 0.146447 
-0.740000 	 0.157726 
-0.730000 	 0.169344 
-0.720000 	 0.181288 
-0.710000 	 0.193546 
-0.700000 	 0.206107 
-0.690000 	 0.218958 
-0.680000 	 0.232087 
-0.670000 	 0.245479 
-0.660000 	 0.259123 
-0.650000 	 0.273005 
-0.640000 	 0.287110 
-0.630000 	 0.301426 
-0.620000 	 0.315938 
-0.610000 	 0.330631 
-0.600000 	 0.345492 
-0.590000 	 0.360504 
-0.580000 	 0.375655 
-0.570000 	 0.390928 
-0.560000 	 0.406309 
-0.550000 	 0.421783 
-0.540000 	 0.437333 
-0.530000 	 0.452946 
-0.520000 	 0.468605 
-0.510000 	 0.484295 
-0.500000 	 0.500000 
-0.490000 	 0.515705 
-0.480000 	 0.531395 
-0.470000 	 0.547054 
-0.460000 	 0.562667 
-0.450000 	 0.578217 
-0.440000 	 0.593691 
-0.430000 	 0.609072 
-0.420000 	 0.624345 
-0.410000 	 0.639496 
-0.400000 	 0.654508 
-0.390000 	 0.669369 
-0.380000 	 0.684062 
-0.370000 	 0.698574 
-0.360000 	 0.712890 
-0.350000 	 0.726995 
-0.340000 	 0.740877 
-0.330000 	 0.754521 
-0.320000 	 0.767913 
-0.310000 	 0.781042 
-0.300000 	 0.793893 
-0.290000 	 0.806454 
-0.280000 	 0.818712 
-0.270000 	 0.830656 
-0.260000 	 0.842274 
-0.250000 	 0.853553 
-0.240000 	 0.864484 
-0.230000 	 0.875056 
-0.220000 	 0.885257 
-0.210000 	 0.895078 
-0.200000 	 0.904508 
-0.190000 	 0.913540 
-0.180000 	 0.922164 
-0.170000 	 0.930371 
-0.160000 	 0.938153 
-0.150000 	 0.945503 
-0.140000 	 0.952414 
-0.130000 	 0.958877 
-0.120000 	 0.964888 
-0.110000 	 0.970440 
-0.100000 	 0.975528 
-0.090000 	 0.980147 
-0.080000 	 0.984292 
-0.070000 	 0.987958 
-0.060000 	 0.991144 
-0.050000 	 0.993844 
-0.040000 	 0.996057 
-0.030000 	 0.997781 
-0.020000 	 0.999013 
-0.010000 	 0.999753 
0.000000 	 1.000000 
0.010000 	 0.999753 
0.020000 	 0.999013 
0.030000 	 0.997781 
0.040000 	 0.996057 
0.050000 	 0.993844 
0.060000 	 0.991144 
0.070000 	 0.987958 
0.080000 	 0.984292 
0.090000 	 0.980147 
0.100000 	 0.975528 
0.110000 	 0.970440 
0.120000 	 0.964888 
0.130000 	 0.958877 
0.140000 	 0.952414 
0.150000 	 0.945503 
0.160000 	 0.938153 
0.170000 	 0.930371 
0.180000 	 0.922164 
0.190000 	 0.913540 
0.200000 	 0.904508 
0.210000 	 0.895078 
0.220000 	 0.885257 
0.230000 	 0.875056 
0.240000 	 0.864484 
0.250000 	 0.853553 
0.260000 	 0.842274 
0.270000 	 0.830656 
0.280000 	 0.818712 
0.290000 	 0.806454 
0.300000 	 0.793893 
0.310000 	 0.781042 
0.320000 	 0.767913 
0.330000 	 0.754521 
0.340000 	 0.740877 
0.350000 	 0.726995 
0.360000 	 0.712890 
0.370000 	 0.698574 
0.380000 	 0.684062 
0.390000 	 0.669369 
0.400000 	 0.654508 
0.410000 	 0.639496 
0.420000 	 0.624345 
0.430000 	 0.609072 
0.440000 	 0.593691 
0.450000 	 0.578217 
0.460000 	 0.562667 
0.470000 	 0.547054 
0.480000 	 0.531395 
0.490000 	 0.515705 
0.500000 	 0.500000 
0.510000 	 0.484295 
0.520000 	 0.468605 
0.530000 	 0.452946 
0.540000 	 0.437333 
0.550000 	 0.421783 
0.560000 	 0.406309 
0.570000 	 0.390928 
0.580000 	 0.375655 
0.590000 	 0.360504 
0.600000 	 0.345492 
0.610000 	 0.330631 
0.620000 	 0.315938 
0.630000 	 0.301426 
0.640000 	 0.287110 
0.650000 	 0.273005 
0.660000 	 0.259123 
0.670000 	 0.245479 
0.680000 	 0.232087 
0.690000 	 0.218958 
0.700000 	 0.206107 
0.710000 	 0.193546 
0.720000 	 0.181288 
0.730000 	 0.169344 
0.740000 	 0.157726 
0.750000 	 0.146447 
0.760000 	 0.135516 
0.770000 	 0.124944 
0.780000 	 0.114743 
0.790000 	 0.104922 
0.800000 	 0.095492 
0.810000 	 0.086460 
0.820000 	 0.077836 
0.830000 	 0.069629 
0.840000 	 0.061847 
0.850000 	 0.054497 
0.860000 	 0.047586 
0.870000 	 0.041123 
0.880000 	 0.035112 
0.890000 	 0.029560 
0.900000 	 0.024472 
0.910000 	 0.019853 
0.920000 	 0.015708 
0.930000 	 0.012042 
0.940000 	 0.008856 
0.950000 	 0.006156 
0.960000 	 0.003943 
0.970000 	 0.002219 
0.980000 	 0.000987 
0.990000 	 0.000247 
