x 	 y 	 z 	 
0.000000 	 0.000000 	 0.000000 	 
0.056424 	 -0.796489 	 0.153043 	 
0.140655 	 -0.689422 	 -0.813191 	 
0.164536 	 -0.525129 	 -0.703707 	 
0.199180 	 0.617289 	 -0.633275 	 
0.367595 	 0.720621 	 0.427736 	 
0.544726 	 -0.140168 	 -0.374199 	 
0.548365 	 -0.999035 	 -0.266720 	 
0.661546 	 0.033547 	 0.905201 	 
-0.226616 	 -0.840178 	 0.989055 	 
-0.118950 	 -0.835713 	 0.197894 	 
0.956419 	 0.170672 	 0.257461 	 
0.106344 	 -0.735754 	 0.427569 	 
0.260537 	 0.268319 	 0.473543 	 
0.297443 	 -0.604323 	 -0.431283 	 
0.358153 	 -0.577687 	 -0.239905 	 
0.552063 	 0.603377 	 0.893387 	 
0.560037 	 0.675503 	 -0.097948 	 
0.763980 	 -0.297033 	 -0.933708 	 
0.842293 	 -0.137497 	 0.083754 	 
-0.090922 	 0.032608 	 0.170285 	 
-0.038353 	 0.163731 	 0.313313 	 
0.161892 	 0.279564 	 0.423532 	 
0.169770 	 0.468369 	 0.482894 	 
0.375046 	 0.659477 	 -0.329018 	 
0.426967 	 -0.303874 	 0.837938 	 
0.516315 	 0.823791 	 -0.096023 	 
-0.269874 	 -0.035679 	 0.995989 	 
0.862196 	 -0.825633 	 0.125718 	 
0.969410 	 -0.771910 	 0.271788 	 
0.123966 	 -0.653588 	 0.333370 	 
-0.835627 	 -0.562298 	 -0.469138 	 
0.272517 	 0.633123 	 0.708202 	 
0.288217 	 -0.360834 	 -0.218505 	 
0.340571 	 0.716357 	 0.936218 	 
0.536105 	 -0.264665 	 -0.015100 	 
0.595702 	 0.787736 	 0.104938 	 
0.696884 	 -0.053587 	 -0.689524 	 
0.860320 	 -0.973039 	 0.328720 	 
0.885999 	 -0.937386 	 0.334265 	 
0.923201 	 -0.737387 	 -0.491095 	 
-0.983395 	 -0.600319 	 0.604785 	 
0.207222 	 0.450060 	 0.797677 	 
-0.702252 	 -0.429235 	 0.863227 	 
0.388227 	 0.584550 	 -0.069354 	 
0.571163 	 -0.223731 	 0.019598 	 
-0.388285 	 0.954232 	 0.069811 	 
0.809693 	 -0.006444 	 -0.803344 	 
0.874790 	 0.038862 	 -0.652216 	 
0.901669 	 0.137891 	 0.375959 	 
0.012401 	 0.282676 	 0.409377 	 
-0.955210 	 -0.573745 	 -0.527822 	 
-0.753503 	 0.617636 	 0.647926 	 
0.272106 	 -0.303894 	 0.762453 	 
-0.522562 	 -0.121866 	 0.921719 	 
0.643039 	 0.044291 	 -0.028191 	 
-0.247796 	 0.255842 	 0.072592 	 
-0.065617 	 -0.603815 	 -0.911507 	 
0.072010 	 0.429373 	 -0.770596 	 
0.138699 	 0.432385 	 -0.733192 	 
-0.805542 	 0.572733 	 -0.590888 	 
-0.680832 	 -0.354219 	 0.604599 	 
0.364067 	 -0.301333 	 0.779420 	 
0.447473 	 -0.238849 	 0.962123 	 
-0.404092 	 0.898676 	 -0.856221 	 
0.716989 	 -0.034808 	 -0.841693 	 
0.805221 	 0.100806 	 -0.705912 	 
0.822531 	 0.223063 	 -0.643825 	 
-0.129502 	 0.302373 	 0.540501 	 
0.017343 	 0.399024 	 -0.436886 	 
-0.862922 	 -0.587011 	 0.592607 	 
-0.744211 	 0.475398 	 0.705928 	 
-0.702474 	 0.539609 	 -0.132676 	 
-0.615563 	 -0.426932 	 0.977890 	 
0.403798 	 -0.346942 	 0.079537 	 
0.495009 	 0.660019 	 0.163828 	 
-0.467170 	 -0.236518 	 0.329566 	 
-0.451915 	 -0.053980 	 -0.667789 	 
-0.247737 	 -0.950306 	 -0.641711 	 
-0.058598 	 -0.736333 	 -0.574294 	 
-0.989869 	 0.275813 	 -0.404695 	 
-0.981246 	 0.481120 	 -0.268976 	 
0.094956 	 -0.330235 	 0.786574 	 
-0.739845 	 -0.128090 	 0.874926 	 
-0.597913 	 -0.931301 	 -0.081130 	 
0.534608 	 0.225127 	 -0.879686 	 
0.574601 	 -0.727275 	 -0.825681 	 
0.699189 	 0.418269 	 -0.738379 	 
0.892985 	 -0.393384 	 0.303858 	 
0.016666 	 0.671602 	 0.445599 	 
0.048513 	 0.858184 	 0.617651 	 
0.133547 	 0.995334 	 0.632196 	 
0.235140 	 0.161801 	 0.698263 	 
0.302106 	 -0.693758 	 0.702525 	 
-0.528266 	 -0.669636 	 -0.215066 	 
0.541215 	 0.482025 	 -0.208673 	 
0.622776 	 -0.410702 	 -0.018679 	 
0.772866 	 -0.359404 	 0.073774 	 
-0.207342 	 -0.308562 	 -0.866647 	 
-0.108851 	 0.806224 	 0.149741 	 
0.990702 	 -0.170285 	 0.243329 	 
