x 	 y 	 
-0.119075 	 -0.137436 	 
-0.191385 	 -0.259466 	 
-0.068719 	 -0.317362 	 
0.155576 	 -0.297269 	 
-0.171591 	 -0.212971 	 
-0.044158 	 -0.238208 	 
-0.054387 	 -0.427909 	 
0.083261 	 -0.635242 	 
0.078708 	 -0.637941 	 
-0.063777 	 -0.412177 	 
-0.016253 	 -0.507337 	 
-0.126684 	 -0.518614 	 
-0.207681 	 -0.279716 	 
-0.382721 	 -0.187054 	 
-0.455939 	 -0.274144 	 
-0.396968 	 -0.490346 	 
-0.390841 	 -0.593156 	 
-0.533969 	 -0.412598 	 
-0.494423 	 -0.463700 	 
-0.342828 	 -0.167030 	 
-0.335341 	 -0.047096 	 
-0.484443 	 -0.013603 	 
-0.502001 	 -0.145628 	 
-0.230142 	 -0.192422 	 
-0.331338 	 -0.620012 	 
-0.134307 	 -0.503802 	 
-0.206889 	 -0.620712 	 
-0.322616 	 -0.513913 	 
-0.455002 	 -0.570927 	 
-0.327086 	 -0.522522 	 
-0.360541 	 -0.626673 	 
-0.500620 	 -0.712792 	 
-0.517549 	 -0.711735 	 
-0.481421 	 -0.452863 	 
-0.536966 	 -0.773952 	 
-0.569055 	 -0.595331 	 
-0.663682 	 -0.612063 	 
-0.662512 	 -0.825044 	 
-0.515908 	 -0.728920 	 
-0.732423 	 -0.819140 	 
-0.673615 	 -0.671059 	 
-0.731761 	 -0.672352 	 
-0.802253 	 -0.565914 	 
-0.840335 	 -0.643647 	 
-0.735818 	 -0.709038 	 
-0.631973 	 -0.741624 	 
-0.952107 	 -0.621367 	 
-0.956771 	 -0.628119 	 
-1.169242 	 -0.758194 	 
-1.220790 	 -0.806345 	 
-1.353139 	 -0.624462 	 
-1.496344 	 -0.713172 	 
-1.467816 	 -0.888089 	 
-1.287150 	 -0.683071 	 
-1.159591 	 -0.672557 	 
-1.053364 	 -0.866129 	 
-0.778872 	 -0.640090 	 
-0.725525 	 -0.675630 	 
-0.709120 	 -0.616594 	 
-0.779767 	 -0.720205 	 
-0.640216 	 -0.784130 	 
-0.594376 	 -0.926070 	 
-0.847054 	 -0.882503 	 
-0.851721 	 -0.827679 	 
-0.664725 	 -0.987074 	 
-0.453541 	 -1.240580 	 
-0.513182 	 -1.393665 	 
-0.414385 	 -1.549272 	 
-0.260094 	 -1.432424 	 
-0.176168 	 -1.501075 	 
-0.235942 	 -1.406773 	 
-0.009556 	 -1.536600 	 
0.033252 	 -1.997997 	 
0.047633 	 -1.946396 	 
0.060011 	 -2.089659 	 
-0.107359 	 -1.966639 	 
0.085181 	 -1.881003 	 
-0.000272 	 -1.653374 	 
-0.208106 	 -1.957785 	 
-0.331109 	 -2.012443 	 
-0.178516 	 -2.044853 	 
-0.316054 	 -2.156736 	 
-0.294935 	 -1.924989 	 
-0.221362 	 -1.941681 	 
-0.152998 	 -2.038020 	 
-0.065135 	 -2.056585 	 
-0.162437 	 -2.229682 	 
-0.137304 	 -2.324247 	 
-0.123190 	 -2.103422 	 
-0.245528 	 -1.992599 	 
-0.221329 	 -2.134378 	 
-0.461566 	 -2.138807 	 
-0.569177 	 -2.200784 	 
-0.315100 	 -2.214706 	 
-0.617880 	 -2.449367 	 
-0.373910 	 -2.667173 	 
-0.541911 	 -2.789223 	 
-0.587441 	 -2.876708 	 
-0.651695 	 -2.926914 	 
-0.704235 	 -2.788504 	 
-0.614069 	 -2.596014 	 
-0.582780 	 -2.755990 	 
-0.645162 	 -2.665908 	 
-0.417567 	 -2.676511 	 
-0.514913 	 -2.456571 	 
-0.386645 	 -2.643973 	 
-0.284836 	 -2.422443 	 
-0.184166 	 -2.677821 	 
-0.214808 	 -2.997034 	 
-0.052648 	 -3.055682 	 
-0.059205 	 -3.323327 	 
-0.085861 	 -3.478458 	 
-0.104791 	 -3.488360 	 
-0.210533 	 -3.279579 	 
-0.169672 	 -3.364077 	 
-0.369266 	 -3.399648 	 
-0.159549 	 -3.427755 	 
-0.210473 	 -3.240092 	 
0.042664 	 -3.241926 	 
0.126217 	 -3.072095 	 
-0.146241 	 -2.976829 	 
-0.177067 	 -2.858182 	 
-0.252832 	 -2.843111 	 
-0.227676 	 -2.743451 	 
-0.299436 	 -2.399575 	 
-0.338725 	 -2.355858 	 
-0.375557 	 -2.168398 	 
-0.466127 	 -2.170269 	 
-0.648534 	 -2.062654 	 
-0.742629 	 -2.056597 	 
-0.676572 	 -2.223967 	 
-0.744332 	 -2.038658 	 
-0.681372 	 -2.063602 	 
-0.685875 	 -1.748924 	 
-0.676403 	 -1.770977 	 
-0.597881 	 -1.788473 	 
-0.818016 	 -1.742021 	 
-0.519237 	 -1.910958 	 
-0.648045 	 -1.872107 	 
-0.339728 	 -1.529870 	 
-0.327603 	 -1.354839 	 
-0.360677 	 -1.317957 	 
-0.485831 	 -1.530353 	 
-0.795298 	 -1.379582 	 
-0.810216 	 -1.494126 	 
-0.857854 	 -1.704801 	 
-0.952884 	 -1.582560 	 
-0.859517 	 -1.623773 	 
-1.043586 	 -1.489590 	 
-1.189049 	 -1.457431 	 
-1.192860 	 -1.381749 	 
-1.420384 	 -1.374298 	 
-1.505632 	 -1.150044 	 
-1.519691 	 -1.374310 	 
-1.736950 	 -1.404261 	 
-1.573094 	 -1.444924 	 
-1.794101 	 -1.746652 	 
-1.913555 	 -1.888340 	 
-1.782037 	 -2.075737 	 
-1.542206 	 -2.103626 	 
-1.413615 	 -1.912561 	 
-1.398544 	 -2.023761 	 
-1.604888 	 -1.929077 	 
-1.645941 	 -1.856435 	 
-1.851464 	 -1.745948 	 
-1.932400 	 -1.623688 	 
-2.064218 	 -1.482459 	 
-2.029647 	 -1.623826 	 
-2.239911 	 -1.791698 	 
-2.347702 	 -1.665098 	 
-2.578841 	 -1.757203 	 
-2.663058 	 -1.800034 	 
-2.540009 	 -1.658997 	 
-2.290464 	 -1.431658 	 
-2.176041 	 -1.526538 	 
-2.218134 	 -1.436618 	 
-2.307861 	 -1.436816 	 
-2.253852 	 -1.303751 	 
-2.412846 	 -1.303412 	 
-2.436570 	 -1.267657 	 
-2.512735 	 -1.122845 	 
-2.403314 	 -1.194445 	 
-2.235716 	 -1.246532 	 
-2.275960 	 -1.166052 	 
-2.411822 	 -1.088302 	 
-2.702514 	 -0.842870 	 
-2.796458 	 -0.875738 	 
-2.719185 	 -0.823012 	 
-2.861046 	 -0.835621 	 
-2.634888 	 -0.816392 	 
