Ez 	 x 
0.000000 	 0.000000 
18.515990 	 1.000000 
-11.256067 	 2.000000 
7.244994 	 3.000000 
-4.102014 	 4.000000 
2.980758 	 5.000000 
-1.346407 	 6.000000 
1.357535 	 7.000000 
-0.304106 	 8.000000 
0.713965 	 9.000000 
0.060246 	 10.000000 
0.427484 	 11.000000 
0.155126 	 12.000000 
0.273062 	 13.000000 
0.148074 	 14.000000 
0.174283 	 15.000000 
0.110246 	 16.000000 
0.106656 	 17.000000 
0.071222 	 18.000000 
0.061284 	 19.000000 
0.041276 	 20.000000 
0.032745 	 21.000000 
0.021751 	 22.000000 
0.016200 	 23.000000 
0.010488 	 24.000000 
0.007409 	 25.000000 
0.004647 	 26.000000 
0.003137 	 27.000000 
0.001905 	 28.000000 
0.001246 	 29.000000 
0.000684 	 30.000000 
0.000475 	 31.000000 
0.000207 	 32.000000 
0.000187 	 33.000000 
0.000036 	 34.000000 
0.000087 	 35.000000 
-0.000020 	 36.000000 
0.000056 	 37.000000 
-0.000037 	 38.000000 
0.000047 	 39.000000 
-0.000042 	 40.000000 
0.000044 	 41.000000 
-0.000043 	 42.000000 
0.000044 	 43.000000 
-0.000044 	 44.000000 
0.000044 	 45.000000 
-0.000044 	 46.000000 
0.000044 	 47.000000 
-0.000044 	 48.000000 
0.000044 	 49.000000 
-0.000044 	 50.000000 
0.000044 	 51.000000 
-0.000044 	 52.000000 
0.000044 	 53.000000 
-0.000044 	 54.000000 
0.000044 	 55.000000 
-0.000044 	 56.000000 
0.000044 	 57.000000 
-0.000043 	 58.000000 
0.000044 	 59.000000 
-0.000042 	 60.000000 
0.000047 	 61.000000 
-0.000037 	 62.000000 
0.000056 	 63.000000 
-0.000020 	 64.000000 
0.000087 	 65.000000 
0.000036 	 66.000000 
0.000187 	 67.000000 
0.000207 	 68.000000 
0.000475 	 69.000000 
0.000684 	 70.000000 
0.001246 	 71.000000 
0.001905 	 72.000000 
0.003137 	 73.000000 
0.004770 	 74.000000 
0.007385 	 75.000000 
0.010930 	 76.000000 
0.016121 	 77.000000 
0.023043 	 78.000000 
0.032534 	 79.000000 
0.044771 	 80.000000 
0.060628 	 81.000000 
0.080230 	 82.000000 
0.104289 	 83.000000 
0.132638 	 84.000000 
0.165559 	 85.000000 
0.202321 	 86.000000 
0.242537 	 87.000000 
0.284755 	 88.000000 
0.327871 	 89.000000 
0.369805 	 90.000000 
0.408996 	 91.000000 
0.443148 	 92.000000 
0.470783 	 93.000000 
0.490006 	 94.000000 
0.500044 	 95.000000 
0.499956 	 96.000000 
0.490093 	 97.000000 
0.470696 	 98.000000 
0.443235 	 99.000000 
0.408909 	 100.000000 
0.369892 	 101.000000 
0.327784 	 102.000000 
0.284842 	 103.000000 
0.242450 	 104.000000 
0.202408 	 105.000000 
0.165472 	 106.000000 
0.132726 	 107.000000 
0.104202 	 108.000000 
0.080318 	 109.000000 
0.060541 	 110.000000 
0.044858 	 111.000000 
0.032446 	 112.000000 
0.023130 	 113.000000 
0.016034 	 114.000000 
0.011018 	 115.000000 
0.007298 	 116.000000 
0.004857 	 117.000000 
0.003050 	 118.000000 
0.001992 	 119.000000 
0.001159 	 120.000000 
0.000771 	 121.000000 
0.000388 	 122.000000 
0.000294 	 123.000000 
0.000099 	 124.000000 
0.000123 	 125.000000 
0.000000 	 126.000000 
0.000000 	 127.000000 
0.000000 	 128.000000 
0.000000 	 129.000000 
0.000000 	 130.000000 
0.000000 	 131.000000 
0.000000 	 132.000000 
0.000000 	 133.000000 
0.000000 	 134.000000 
0.000000 	 135.000000 
0.000000 	 136.000000 
0.000000 	 137.000000 
0.000000 	 138.000000 
0.000000 	 139.000000 
0.000000 	 140.000000 
0.000000 	 141.000000 
0.000000 	 142.000000 
0.000000 	 143.000000 
0.000000 	 144.000000 
0.000000 	 145.000000 
0.000000 	 146.000000 
0.000000 	 147.000000 
0.000000 	 148.000000 
0.000000 	 149.000000 
0.000000 	 150.000000 
0.000000 	 151.000000 
0.000000 	 152.000000 
0.000000 	 153.000000 
0.000000 	 154.000000 
0.000000 	 155.000000 
0.000000 	 156.000000 
0.000000 	 157.000000 
0.000000 	 158.000000 
0.000000 	 159.000000 
0.000000 	 160.000000 
0.000000 	 161.000000 
0.000000 	 162.000000 
0.000000 	 163.000000 
0.000000 	 164.000000 
0.000000 	 165.000000 
0.000000 	 166.000000 
0.000000 	 167.000000 
0.000000 	 168.000000 
0.000000 	 169.000000 
0.000000 	 170.000000 
0.000000 	 171.000000 
0.000000 	 172.000000 
0.000000 	 173.000000 
0.000000 	 174.000000 
0.000000 	 175.000000 
0.000000 	 176.000000 
0.000000 	 177.000000 
0.000000 	 178.000000 
0.000000 	 179.000000 
0.000000 	 180.000000 
0.000000 	 181.000000 
0.000000 	 182.000000 
0.000000 	 183.000000 
0.000000 	 184.000000 
0.000000 	 185.000000 
0.000000 	 186.000000 
0.000000 	 187.000000 
0.000000 	 188.000000 
0.000000 	 189.000000 
0.000000 	 190.000000 
0.000000 	 191.000000 
0.000000 	 192.000000 
0.000000 	 193.000000 
0.000000 	 194.000000 
0.000000 	 195.000000 
0.000000 	 196.000000 
0.000000 	 197.000000 
0.000000 	 198.000000 
0.000000 	 199.000000 
