Ez 	 x 
0.000000 	 0.000000 
2268.057358 	 1.000000 
-1401.921247 	 2.000000 
866.135827 	 3.000000 
-535.701396 	 4.000000 
330.598279 	 5.000000 
-204.867575 	 6.000000 
126.026802 	 7.000000 
-78.497427 	 8.000000 
47.905440 	 9.000000 
-30.197982 	 10.000000 
18.105288 	 11.000000 
-11.703720 	 12.000000 
6.771022 	 13.000000 
-4.591040 	 14.000000 
2.488100 	 15.000000 
-1.831643 	 16.000000 
0.889889 	 17.000000 
-0.745349 	 18.000000 
0.306216 	 19.000000 
-0.308875 	 20.000000 
0.100088 	 21.000000 
-0.129422 	 22.000000 
0.030711 	 23.000000 
-0.054210 	 24.000000 
0.008812 	 25.000000 
-0.022412 	 26.000000 
0.002422 	 27.000000 
-0.009045 	 28.000000 
0.000703 	 29.000000 
-0.003537 	 30.000000 
0.000255 	 31.000000 
-0.001335 	 32.000000 
0.000122 	 33.000000 
-0.000486 	 34.000000 
0.000068 	 35.000000 
-0.000167 	 36.000000 
0.000044 	 37.000000 
-0.000044 	 38.000000 
0.000044 	 39.000000 
-0.000044 	 40.000000 
0.000044 	 41.000000 
-0.000044 	 42.000000 
0.000044 	 43.000000 
-0.000044 	 44.000000 
0.000044 	 45.000000 
-0.000044 	 46.000000 
0.000044 	 47.000000 
-0.000044 	 48.000000 
0.000044 	 49.000000 
-0.000044 	 50.000000 
0.000044 	 51.000000 
-0.000044 	 52.000000 
0.000044 	 53.000000 
-0.000044 	 54.000000 
0.000044 	 55.000000 
-0.000044 	 56.000000 
0.000044 	 57.000000 
-0.000044 	 58.000000 
0.000044 	 59.000000 
-0.000044 	 60.000000 
0.000044 	 61.000000 
-0.000044 	 62.000000 
0.000044 	 63.000000 
-0.000044 	 64.000000 
0.000044 	 65.000000 
-0.000044 	 66.000000 
0.000044 	 67.000000 
-0.000043 	 68.000000 
0.000044 	 69.000000 
-0.000042 	 70.000000 
0.000047 	 71.000000 
-0.000037 	 72.000000 
0.000056 	 73.000000 
-0.000020 	 74.000000 
0.000087 	 75.000000 
0.000036 	 76.000000 
0.000187 	 77.000000 
0.000207 	 78.000000 
0.000475 	 79.000000 
0.000684 	 80.000000 
0.001246 	 81.000000 
0.001905 	 82.000000 
0.003137 	 83.000000 
0.004770 	 84.000000 
0.007385 	 85.000000 
0.010930 	 86.000000 
0.016121 	 87.000000 
0.023043 	 88.000000 
0.032534 	 89.000000 
0.044771 	 90.000000 
0.060628 	 91.000000 
0.080230 	 92.000000 
0.104289 	 93.000000 
0.132638 	 94.000000 
0.165559 	 95.000000 
0.202321 	 96.000000 
0.242537 	 97.000000 
0.284755 	 98.000000 
0.327871 	 99.000000 
0.369805 	 100.000000 
0.408996 	 101.000000 
0.443148 	 102.000000 
0.470783 	 103.000000 
0.490006 	 104.000000 
0.500044 	 105.000000 
0.499956 	 106.000000 
0.490093 	 107.000000 
0.470696 	 108.000000 
0.443235 	 109.000000 
0.408909 	 110.000000 
0.369892 	 111.000000 
0.327784 	 112.000000 
0.284842 	 113.000000 
0.242450 	 114.000000 
0.202408 	 115.000000 
0.165472 	 116.000000 
0.132726 	 117.000000 
0.104202 	 118.000000 
0.080318 	 119.000000 
0.060541 	 120.000000 
0.044858 	 121.000000 
0.032446 	 122.000000 
0.023130 	 123.000000 
0.016034 	 124.000000 
0.011018 	 125.000000 
0.007298 	 126.000000 
0.004857 	 127.000000 
0.003050 	 128.000000 
0.001992 	 129.000000 
0.001159 	 130.000000 
0.000771 	 131.000000 
0.000388 	 132.000000 
0.000294 	 133.000000 
0.000099 	 134.000000 
0.000123 	 135.000000 
0.000000 	 136.000000 
0.000000 	 137.000000 
0.000000 	 138.000000 
0.000000 	 139.000000 
0.000000 	 140.000000 
0.000000 	 141.000000 
0.000000 	 142.000000 
0.000000 	 143.000000 
0.000000 	 144.000000 
0.000000 	 145.000000 
0.000000 	 146.000000 
0.000000 	 147.000000 
0.000000 	 148.000000 
0.000000 	 149.000000 
0.000000 	 150.000000 
0.000000 	 151.000000 
0.000000 	 152.000000 
0.000000 	 153.000000 
0.000000 	 154.000000 
0.000000 	 155.000000 
0.000000 	 156.000000 
0.000000 	 157.000000 
0.000000 	 158.000000 
0.000000 	 159.000000 
0.000000 	 160.000000 
0.000000 	 161.000000 
0.000000 	 162.000000 
0.000000 	 163.000000 
0.000000 	 164.000000 
0.000000 	 165.000000 
0.000000 	 166.000000 
0.000000 	 167.000000 
0.000000 	 168.000000 
0.000000 	 169.000000 
0.000000 	 170.000000 
0.000000 	 171.000000 
0.000000 	 172.000000 
0.000000 	 173.000000 
0.000000 	 174.000000 
0.000000 	 175.000000 
0.000000 	 176.000000 
0.000000 	 177.000000 
0.000000 	 178.000000 
0.000000 	 179.000000 
0.000000 	 180.000000 
0.000000 	 181.000000 
0.000000 	 182.000000 
0.000000 	 183.000000 
0.000000 	 184.000000 
0.000000 	 185.000000 
0.000000 	 186.000000 
0.000000 	 187.000000 
0.000000 	 188.000000 
0.000000 	 189.000000 
0.000000 	 190.000000 
0.000000 	 191.000000 
0.000000 	 192.000000 
0.000000 	 193.000000 
0.000000 	 194.000000 
0.000000 	 195.000000 
0.000000 	 196.000000 
0.000000 	 197.000000 
0.000000 	 198.000000 
0.000000 	 199.000000 
