Ez 	 x 
0.000000 	 0.000000 
34309930.769127 	 1.000000 
-21204703.371469 	 2.000000 
13105227.397846 	 3.000000 
-8099475.972734 	 4.000000 
5005751.426882 	 5.000000 
-3093724.542859 	 6.000000 
1912026.888781 	 7.000000 
-1181697.646765 	 8.000000 
730329.252975 	 9.000000 
-451368.377721 	 10.000000 
278960.898336 	 11.000000 
-172407.446897 	 12.000000 
106553.496253 	 13.000000 
-65853.890060 	 14.000000 
40699.686467 	 15.000000 
-25154.099348 	 16.000000 
15545.719801 	 17.000000 
-9608.214031 	 18.000000 
5937.708134 	 19.000000 
-3670.263403 	 20.000000 
2267.729530 	 21.000000 
-1402.206046 	 22.000000 
865.893333 	 23.000000 
-535.903761 	 24.000000 
330.432764 	 25.000000 
-205.000257 	 26.000000 
125.922556 	 27.000000 
-78.577701 	 28.000000 
47.844855 	 29.000000 
-30.242796 	 30.000000 
18.072798 	 31.000000 
-11.726806 	 32.000000 
6.754944 	 33.000000 
-4.602014 	 34.000000 
2.480758 	 35.000000 
-1.836457 	 36.000000 
0.886795 	 37.000000 
-0.747297 	 38.000000 
0.305013 	 39.000000 
-0.309602 	 40.000000 
0.099656 	 41.000000 
-0.129673 	 42.000000 
0.030568 	 43.000000 
-0.054290 	 44.000000 
0.008768 	 45.000000 
-0.022436 	 46.000000 
0.002410 	 47.000000 
-0.009052 	 48.000000 
0.000700 	 49.000000 
-0.003538 	 50.000000 
0.000255 	 51.000000 
-0.001335 	 52.000000 
0.000122 	 53.000000 
-0.000486 	 54.000000 
0.000068 	 55.000000 
-0.000167 	 56.000000 
0.000044 	 57.000000 
-0.000044 	 58.000000 
0.000044 	 59.000000 
-0.000044 	 60.000000 
0.000044 	 61.000000 
-0.000044 	 62.000000 
0.000044 	 63.000000 
-0.000044 	 64.000000 
0.000044 	 65.000000 
-0.000044 	 66.000000 
0.000044 	 67.000000 
-0.000044 	 68.000000 
0.000044 	 69.000000 
-0.000044 	 70.000000 
0.000044 	 71.000000 
-0.000044 	 72.000000 
0.000044 	 73.000000 
-0.000044 	 74.000000 
0.000044 	 75.000000 
-0.000044 	 76.000000 
0.000044 	 77.000000 
-0.000044 	 78.000000 
0.000044 	 79.000000 
-0.000044 	 80.000000 
0.000044 	 81.000000 
-0.000044 	 82.000000 
0.000044 	 83.000000 
-0.000044 	 84.000000 
0.000044 	 85.000000 
-0.000044 	 86.000000 
0.000044 	 87.000000 
-0.000043 	 88.000000 
0.000044 	 89.000000 
-0.000042 	 90.000000 
0.000047 	 91.000000 
-0.000037 	 92.000000 
0.000056 	 93.000000 
-0.000020 	 94.000000 
0.000087 	 95.000000 
0.000036 	 96.000000 
0.000187 	 97.000000 
0.000207 	 98.000000 
0.000475 	 99.000000 
0.000684 	 100.000000 
0.001246 	 101.000000 
0.001905 	 102.000000 
0.003137 	 103.000000 
0.004770 	 104.000000 
0.007385 	 105.000000 
0.010930 	 106.000000 
0.016121 	 107.000000 
0.023043 	 108.000000 
0.032534 	 109.000000 
0.044771 	 110.000000 
0.060628 	 111.000000 
0.080230 	 112.000000 
0.104289 	 113.000000 
0.132638 	 114.000000 
0.165559 	 115.000000 
0.202321 	 116.000000 
0.242537 	 117.000000 
0.284755 	 118.000000 
0.327871 	 119.000000 
0.369805 	 120.000000 
0.408996 	 121.000000 
0.443148 	 122.000000 
0.470783 	 123.000000 
0.490006 	 124.000000 
0.500044 	 125.000000 
0.499956 	 126.000000 
0.490093 	 127.000000 
0.470696 	 128.000000 
0.443235 	 129.000000 
0.408909 	 130.000000 
0.369892 	 131.000000 
0.327784 	 132.000000 
0.284842 	 133.000000 
0.242450 	 134.000000 
0.202408 	 135.000000 
0.165472 	 136.000000 
0.132726 	 137.000000 
0.104202 	 138.000000 
0.080318 	 139.000000 
0.060541 	 140.000000 
0.044858 	 141.000000 
0.032446 	 142.000000 
0.023130 	 143.000000 
0.016034 	 144.000000 
0.011018 	 145.000000 
0.007298 	 146.000000 
0.004857 	 147.000000 
0.003050 	 148.000000 
0.001992 	 149.000000 
0.001159 	 150.000000 
0.000771 	 151.000000 
0.000388 	 152.000000 
0.000294 	 153.000000 
0.000099 	 154.000000 
0.000123 	 155.000000 
0.000000 	 156.000000 
0.000000 	 157.000000 
0.000000 	 158.000000 
0.000000 	 159.000000 
0.000000 	 160.000000 
0.000000 	 161.000000 
0.000000 	 162.000000 
0.000000 	 163.000000 
0.000000 	 164.000000 
0.000000 	 165.000000 
0.000000 	 166.000000 
0.000000 	 167.000000 
0.000000 	 168.000000 
0.000000 	 169.000000 
0.000000 	 170.000000 
0.000000 	 171.000000 
0.000000 	 172.000000 
0.000000 	 173.000000 
0.000000 	 174.000000 
0.000000 	 175.000000 
0.000000 	 176.000000 
0.000000 	 177.000000 
0.000000 	 178.000000 
0.000000 	 179.000000 
0.000000 	 180.000000 
0.000000 	 181.000000 
0.000000 	 182.000000 
0.000000 	 183.000000 
0.000000 	 184.000000 
0.000000 	 185.000000 
0.000000 	 186.000000 
0.000000 	 187.000000 
0.000000 	 188.000000 
0.000000 	 189.000000 
0.000000 	 190.000000 
0.000000 	 191.000000 
0.000000 	 192.000000 
0.000000 	 193.000000 
0.000000 	 194.000000 
0.000000 	 195.000000 
0.000000 	 196.000000 
0.000000 	 197.000000 
0.000000 	 198.000000 
0.000000 	 199.000000 
