Ez 	 x 
0.000000 	 0.000000 
63833557579710.445312 	 1.000000 
-39451308207084.531250 	 2.000000 
24382249372625.914062 	 3.000000 
-15069058834458.615234 	 4.000000 
9313190538167.298828 	 5.000000 
-5755868296291.316406 	 6.000000 
3557322241875.984375 	 7.000000 
-2198546054415.333008 	 8.000000 
1358776187460.651367 	 9.000000 
-839769866954.681396 	 10.000000 
519006320505.970276 	 11.000000 
-320763546448.711121 	 12.000000 
198242774057.259094 	 13.000000 
-122520772391.452011 	 14.000000 
75722001665.807083 	 15.000000 
-46798770725.644928 	 16.000000 
28923230940.162140 	 17.000000 
-17875539785.482788 	 18.000000 
11047691154.679350 	 19.000000 
-6827848630.803434 	 20.000000 
4219842523.875917 	 21.000000 
-2608006106.927518 	 22.000000 
1611836416.948400 	 23.000000 
-996169689.979118 	 24.000000 
615666726.969288 	 25.000000 
-380502963.009818 	 26.000000 
235163763.959493 	 27.000000 
-145339199.050282 	 28.000000 
89824564.909292 	 29.000000 
-55514634.140847 	 30.000000 
34309930.768695 	 31.000000 
-21204703.371720 	 32.000000 
13105227.397703 	 33.000000 
-8099475.972814 	 34.000000 
5005751.426838 	 35.000000 
-3093724.542882 	 36.000000 
1912026.888769 	 37.000000 
-1181697.646772 	 38.000000 
730329.252972 	 39.000000 
-451368.377722 	 40.000000 
278960.898335 	 41.000000 
-172407.446897 	 42.000000 
106553.496253 	 43.000000 
-65853.890060 	 44.000000 
40699.686467 	 45.000000 
-25154.099348 	 46.000000 
15545.719801 	 47.000000 
-9608.214031 	 48.000000 
5937.708134 	 49.000000 
-3670.263403 	 50.000000 
2267.729530 	 51.000000 
-1402.206046 	 52.000000 
865.893333 	 53.000000 
-535.903761 	 54.000000 
330.432764 	 55.000000 
-205.000257 	 56.000000 
125.922556 	 57.000000 
-78.577701 	 58.000000 
47.844855 	 59.000000 
-30.242796 	 60.000000 
18.072798 	 61.000000 
-11.726806 	 62.000000 
6.754944 	 63.000000 
-4.602014 	 64.000000 
2.480758 	 65.000000 
-1.836457 	 66.000000 
0.886795 	 67.000000 
-0.747297 	 68.000000 
0.305013 	 69.000000 
-0.309602 	 70.000000 
0.099656 	 71.000000 
-0.129673 	 72.000000 
0.030568 	 73.000000 
-0.054290 	 74.000000 
0.008768 	 75.000000 
-0.022436 	 76.000000 
0.002410 	 77.000000 
-0.009052 	 78.000000 
0.000700 	 79.000000 
-0.003538 	 80.000000 
0.000255 	 81.000000 
-0.001335 	 82.000000 
0.000122 	 83.000000 
-0.000486 	 84.000000 
0.000068 	 85.000000 
-0.000167 	 86.000000 
0.000044 	 87.000000 
-0.000044 	 88.000000 
0.000044 	 89.000000 
-0.000044 	 90.000000 
0.000044 	 91.000000 
-0.000044 	 92.000000 
0.000044 	 93.000000 
-0.000044 	 94.000000 
0.000044 	 95.000000 
-0.000044 	 96.000000 
0.000044 	 97.000000 
-0.000044 	 98.000000 
0.000044 	 99.000000 
-0.000044 	 100.000000 
0.000044 	 101.000000 
-0.000044 	 102.000000 
0.000044 	 103.000000 
-0.000044 	 104.000000 
0.000044 	 105.000000 
-0.000044 	 106.000000 
0.000044 	 107.000000 
-0.000044 	 108.000000 
0.000044 	 109.000000 
-0.000044 	 110.000000 
0.000044 	 111.000000 
-0.000044 	 112.000000 
0.000044 	 113.000000 
-0.000044 	 114.000000 
0.000044 	 115.000000 
-0.000044 	 116.000000 
0.000044 	 117.000000 
-0.000043 	 118.000000 
0.000044 	 119.000000 
-0.000042 	 120.000000 
0.000047 	 121.000000 
-0.000037 	 122.000000 
0.000056 	 123.000000 
-0.000020 	 124.000000 
0.000087 	 125.000000 
0.000036 	 126.000000 
0.000187 	 127.000000 
0.000207 	 128.000000 
0.000475 	 129.000000 
0.000684 	 130.000000 
0.001246 	 131.000000 
0.001905 	 132.000000 
0.003137 	 133.000000 
0.004770 	 134.000000 
0.007385 	 135.000000 
0.010930 	 136.000000 
0.016121 	 137.000000 
0.023043 	 138.000000 
0.032534 	 139.000000 
0.044771 	 140.000000 
0.060628 	 141.000000 
0.080230 	 142.000000 
0.104289 	 143.000000 
0.132638 	 144.000000 
0.165559 	 145.000000 
0.202321 	 146.000000 
0.242537 	 147.000000 
0.284755 	 148.000000 
0.327871 	 149.000000 
0.369805 	 150.000000 
0.408996 	 151.000000 
0.443148 	 152.000000 
0.470783 	 153.000000 
0.490006 	 154.000000 
0.500044 	 155.000000 
0.499956 	 156.000000 
0.490093 	 157.000000 
0.470696 	 158.000000 
0.443235 	 159.000000 
0.408909 	 160.000000 
0.369892 	 161.000000 
0.327784 	 162.000000 
0.284842 	 163.000000 
0.242450 	 164.000000 
0.202408 	 165.000000 
0.165472 	 166.000000 
0.132726 	 167.000000 
0.104202 	 168.000000 
0.080318 	 169.000000 
0.060541 	 170.000000 
0.044858 	 171.000000 
0.032446 	 172.000000 
0.023130 	 173.000000 
0.016034 	 174.000000 
0.011018 	 175.000000 
0.007298 	 176.000000 
0.004857 	 177.000000 
0.003050 	 178.000000 
0.001992 	 179.000000 
0.001159 	 180.000000 
0.000771 	 181.000000 
0.000388 	 182.000000 
0.000294 	 183.000000 
0.000099 	 184.000000 
0.000123 	 185.000000 
0.000000 	 186.000000 
0.000000 	 187.000000 
0.000000 	 188.000000 
0.000000 	 189.000000 
0.000000 	 190.000000 
0.000000 	 191.000000 
0.000000 	 192.000000 
0.000000 	 193.000000 
0.000000 	 194.000000 
0.000000 	 195.000000 
0.000000 	 196.000000 
0.000000 	 197.000000 
0.000000 	 198.000000 
0.000000 	 199.000000 
