Ez 	 x 
0.000000 	 0.000000 
7851008575983877.000000 	 1.000000 
-4852190145924948.000000 	 2.000000 
2998818430058929.000000 	 3.000000 
-1853371715866017.750000 	 4.000000 
1145446714192911.750000 	 5.000000 
-707925001673106.000000 	 6.000000 
437521712519805.687500 	 7.000000 
-270403289153300.312500 	 8.000000 
167118423366505.375000 	 9.000000 
-103284865786794.953125 	 10.000000 
63833557579710.421875 	 11.000000 
-39451308207084.531250 	 12.000000 
24382249372625.914062 	 13.000000 
-15069058834458.615234 	 14.000000 
9313190538167.298828 	 15.000000 
-5755868296291.316406 	 16.000000 
3557322241875.984375 	 17.000000 
-2198546054415.333008 	 18.000000 
1358776187460.651367 	 19.000000 
-839769866954.681396 	 20.000000 
519006320505.970276 	 21.000000 
-320763546448.711121 	 22.000000 
198242774057.259094 	 23.000000 
-122520772391.452011 	 24.000000 
75722001665.807083 	 25.000000 
-46798770725.644928 	 26.000000 
28923230940.162140 	 27.000000 
-17875539785.482788 	 28.000000 
11047691154.679350 	 29.000000 
-6827848630.803434 	 30.000000 
4219842523.875917 	 31.000000 
-2608006106.927518 	 32.000000 
1611836416.948400 	 33.000000 
-996169689.979118 	 34.000000 
615666726.969288 	 35.000000 
-380502963.009818 	 36.000000 
235163763.959493 	 37.000000 
-145339199.050282 	 38.000000 
89824564.909292 	 39.000000 
-55514634.140847 	 40.000000 
34309930.768695 	 41.000000 
-21204703.371720 	 42.000000 
13105227.397703 	 43.000000 
-8099475.972814 	 44.000000 
5005751.426838 	 45.000000 
-3093724.542882 	 46.000000 
1912026.888769 	 47.000000 
-1181697.646772 	 48.000000 
730329.252972 	 49.000000 
-451368.377722 	 50.000000 
278960.898335 	 51.000000 
-172407.446897 	 52.000000 
106553.496253 	 53.000000 
-65853.890060 	 54.000000 
40699.686467 	 55.000000 
-25154.099348 	 56.000000 
15545.719801 	 57.000000 
-9608.214031 	 58.000000 
5937.708134 	 59.000000 
-3670.263403 	 60.000000 
2267.729530 	 61.000000 
-1402.206046 	 62.000000 
865.893333 	 63.000000 
-535.903761 	 64.000000 
330.432764 	 65.000000 
-205.000257 	 66.000000 
125.922556 	 67.000000 
-78.577701 	 68.000000 
47.844855 	 69.000000 
-30.242796 	 70.000000 
18.072798 	 71.000000 
-11.726806 	 72.000000 
6.754944 	 73.000000 
-4.602014 	 74.000000 
2.480758 	 75.000000 
-1.836457 	 76.000000 
0.886795 	 77.000000 
-0.747297 	 78.000000 
0.305013 	 79.000000 
-0.309602 	 80.000000 
0.099656 	 81.000000 
-0.129673 	 82.000000 
0.030568 	 83.000000 
-0.054290 	 84.000000 
0.008768 	 85.000000 
-0.022436 	 86.000000 
0.002410 	 87.000000 
-0.009052 	 88.000000 
0.000700 	 89.000000 
-0.003538 	 90.000000 
0.000255 	 91.000000 
-0.001335 	 92.000000 
0.000122 	 93.000000 
-0.000486 	 94.000000 
0.000068 	 95.000000 
-0.000167 	 96.000000 
0.000044 	 97.000000 
-0.000044 	 98.000000 
0.000044 	 99.000000 
-0.000044 	 100.000000 
0.000044 	 101.000000 
-0.000044 	 102.000000 
0.000044 	 103.000000 
-0.000044 	 104.000000 
0.000044 	 105.000000 
-0.000044 	 106.000000 
0.000044 	 107.000000 
-0.000044 	 108.000000 
0.000044 	 109.000000 
-0.000044 	 110.000000 
0.000044 	 111.000000 
-0.000044 	 112.000000 
0.000044 	 113.000000 
-0.000044 	 114.000000 
0.000044 	 115.000000 
-0.000044 	 116.000000 
0.000044 	 117.000000 
-0.000044 	 118.000000 
0.000044 	 119.000000 
-0.000044 	 120.000000 
0.000044 	 121.000000 
-0.000044 	 122.000000 
0.000044 	 123.000000 
-0.000044 	 124.000000 
0.000044 	 125.000000 
-0.000044 	 126.000000 
0.000044 	 127.000000 
-0.000043 	 128.000000 
0.000044 	 129.000000 
-0.000042 	 130.000000 
0.000047 	 131.000000 
-0.000037 	 132.000000 
0.000056 	 133.000000 
-0.000020 	 134.000000 
0.000087 	 135.000000 
0.000036 	 136.000000 
0.000187 	 137.000000 
0.000207 	 138.000000 
0.000475 	 139.000000 
0.000684 	 140.000000 
0.001246 	 141.000000 
0.001905 	 142.000000 
0.003137 	 143.000000 
0.004770 	 144.000000 
0.007385 	 145.000000 
0.010930 	 146.000000 
0.016121 	 147.000000 
0.023043 	 148.000000 
0.032534 	 149.000000 
0.044771 	 150.000000 
0.060628 	 151.000000 
0.080230 	 152.000000 
0.104289 	 153.000000 
0.132638 	 154.000000 
0.165559 	 155.000000 
0.202321 	 156.000000 
0.242537 	 157.000000 
0.284755 	 158.000000 
0.327871 	 159.000000 
0.369805 	 160.000000 
0.408996 	 161.000000 
0.443148 	 162.000000 
0.470783 	 163.000000 
0.490006 	 164.000000 
0.500044 	 165.000000 
0.499956 	 166.000000 
0.490093 	 167.000000 
0.470696 	 168.000000 
0.443235 	 169.000000 
0.408909 	 170.000000 
0.369892 	 171.000000 
0.327784 	 172.000000 
0.284842 	 173.000000 
0.242450 	 174.000000 
0.202408 	 175.000000 
0.165472 	 176.000000 
0.132726 	 177.000000 
0.104202 	 178.000000 
0.080318 	 179.000000 
0.060541 	 180.000000 
0.044858 	 181.000000 
0.032446 	 182.000000 
0.023130 	 183.000000 
0.016034 	 184.000000 
0.011018 	 185.000000 
0.007298 	 186.000000 
0.004857 	 187.000000 
0.003050 	 188.000000 
0.001992 	 189.000000 
0.001159 	 190.000000 
0.000771 	 191.000000 
0.000388 	 192.000000 
0.000294 	 193.000000 
0.000099 	 194.000000 
0.000123 	 195.000000 
0.000000 	 196.000000 
0.000000 	 197.000000 
0.000000 	 198.000000 
0.000000 	 199.000000 
