Ez 	 x 
0.000000 	 0.000000 
965610221288437120.000000 	 1.000000 
-596779936640561408.000000 	 2.000000 
368830284647875712.000000 	 3.000000 
-227949651992685696.000000 	 4.000000 
140880632655189968.000000 	 5.000000 
-87069019337495728.000000 	 6.000000 
53811613317694224.000000 	 7.000000 
-33257406019801520.000000 	 8.000000 
20554207297892696.000000 	 9.000000 
-12703198721908824.000000 	 10.000000 
7851008575983876.000000 	 11.000000 
-4852190145924948.000000 	 12.000000 
2998818430058929.000000 	 13.000000 
-1853371715866017.750000 	 14.000000 
1145446714192911.750000 	 15.000000 
-707925001673106.000000 	 16.000000 
437521712519805.687500 	 17.000000 
-270403289153300.312500 	 18.000000 
167118423366505.375000 	 19.000000 
-103284865786794.953125 	 20.000000 
63833557579710.421875 	 21.000000 
-39451308207084.531250 	 22.000000 
24382249372625.914062 	 23.000000 
-15069058834458.615234 	 24.000000 
9313190538167.298828 	 25.000000 
-5755868296291.316406 	 26.000000 
3557322241875.984375 	 27.000000 
-2198546054415.333008 	 28.000000 
1358776187460.651367 	 29.000000 
-839769866954.681396 	 30.000000 
519006320505.970276 	 31.000000 
-320763546448.711121 	 32.000000 
198242774057.259094 	 33.000000 
-122520772391.452011 	 34.000000 
75722001665.807083 	 35.000000 
-46798770725.644928 	 36.000000 
28923230940.162140 	 37.000000 
-17875539785.482788 	 38.000000 
11047691154.679350 	 39.000000 
-6827848630.803434 	 40.000000 
4219842523.875917 	 41.000000 
-2608006106.927518 	 42.000000 
1611836416.948400 	 43.000000 
-996169689.979118 	 44.000000 
615666726.969288 	 45.000000 
-380502963.009818 	 46.000000 
235163763.959493 	 47.000000 
-145339199.050282 	 48.000000 
89824564.909292 	 49.000000 
-55514634.140847 	 50.000000 
34309930.768695 	 51.000000 
-21204703.371720 	 52.000000 
13105227.397703 	 53.000000 
-8099475.972814 	 54.000000 
5005751.426838 	 55.000000 
-3093724.542882 	 56.000000 
1912026.888769 	 57.000000 
-1181697.646772 	 58.000000 
730329.252972 	 59.000000 
-451368.377722 	 60.000000 
278960.898335 	 61.000000 
-172407.446897 	 62.000000 
106553.496253 	 63.000000 
-65853.890060 	 64.000000 
40699.686467 	 65.000000 
-25154.099348 	 66.000000 
15545.719801 	 67.000000 
-9608.214031 	 68.000000 
5937.708134 	 69.000000 
-3670.263403 	 70.000000 
2267.729530 	 71.000000 
-1402.206046 	 72.000000 
865.893333 	 73.000000 
-535.903761 	 74.000000 
330.432764 	 75.000000 
-205.000257 	 76.000000 
125.922556 	 77.000000 
-78.577701 	 78.000000 
47.844855 	 79.000000 
-30.242796 	 80.000000 
18.072798 	 81.000000 
-11.726806 	 82.000000 
6.754944 	 83.000000 
-4.602014 	 84.000000 
2.480758 	 85.000000 
-1.836457 	 86.000000 
0.886795 	 87.000000 
-0.747297 	 88.000000 
0.305013 	 89.000000 
-0.309602 	 90.000000 
0.099656 	 91.000000 
-0.129673 	 92.000000 
0.030568 	 93.000000 
-0.054290 	 94.000000 
0.008768 	 95.000000 
-0.022436 	 96.000000 
0.002410 	 97.000000 
-0.009052 	 98.000000 
0.000700 	 99.000000 
-0.003538 	 100.000000 
0.000255 	 101.000000 
-0.001335 	 102.000000 
0.000122 	 103.000000 
-0.000486 	 104.000000 
0.000068 	 105.000000 
-0.000167 	 106.000000 
0.000044 	 107.000000 
-0.000044 	 108.000000 
0.000044 	 109.000000 
-0.000044 	 110.000000 
0.000044 	 111.000000 
-0.000044 	 112.000000 
0.000044 	 113.000000 
-0.000044 	 114.000000 
0.000044 	 115.000000 
-0.000044 	 116.000000 
0.000044 	 117.000000 
-0.000044 	 118.000000 
0.000044 	 119.000000 
-0.000044 	 120.000000 
0.000044 	 121.000000 
-0.000044 	 122.000000 
0.000044 	 123.000000 
-0.000044 	 124.000000 
0.000044 	 125.000000 
-0.000044 	 126.000000 
0.000044 	 127.000000 
-0.000044 	 128.000000 
0.000044 	 129.000000 
-0.000044 	 130.000000 
0.000044 	 131.000000 
-0.000044 	 132.000000 
0.000044 	 133.000000 
-0.000044 	 134.000000 
0.000044 	 135.000000 
-0.000044 	 136.000000 
0.000044 	 137.000000 
-0.000043 	 138.000000 
0.000044 	 139.000000 
-0.000042 	 140.000000 
0.000047 	 141.000000 
-0.000037 	 142.000000 
0.000056 	 143.000000 
-0.000020 	 144.000000 
0.000087 	 145.000000 
0.000036 	 146.000000 
0.000187 	 147.000000 
0.000207 	 148.000000 
0.000475 	 149.000000 
0.000684 	 150.000000 
0.001246 	 151.000000 
0.001905 	 152.000000 
0.003137 	 153.000000 
0.004770 	 154.000000 
0.007385 	 155.000000 
0.010930 	 156.000000 
0.016121 	 157.000000 
0.023043 	 158.000000 
0.032534 	 159.000000 
0.044771 	 160.000000 
0.060628 	 161.000000 
0.080230 	 162.000000 
0.104289 	 163.000000 
0.132638 	 164.000000 
0.165559 	 165.000000 
0.202321 	 166.000000 
0.242537 	 167.000000 
0.284755 	 168.000000 
0.327871 	 169.000000 
0.369805 	 170.000000 
0.408996 	 171.000000 
0.443148 	 172.000000 
0.470783 	 173.000000 
0.490006 	 174.000000 
0.500044 	 175.000000 
0.499956 	 176.000000 
0.490093 	 177.000000 
0.470696 	 178.000000 
0.443235 	 179.000000 
0.408909 	 180.000000 
0.369892 	 181.000000 
0.327784 	 182.000000 
0.284842 	 183.000000 
0.242450 	 184.000000 
0.202408 	 185.000000 
0.165472 	 186.000000 
0.132726 	 187.000000 
0.104202 	 188.000000 
0.080318 	 189.000000 
0.060541 	 190.000000 
0.044858 	 191.000000 
0.032446 	 192.000000 
0.023130 	 193.000000 
0.016034 	 194.000000 
0.011018 	 195.000000 
0.007298 	 196.000000 
0.004857 	 197.000000 
0.003050 	 198.000000 
0.001992 	 199.000000 
