Ez 	 x 
0.000000 	 0.000000 
14606785753596632760320.000000 	 1.000000 
-9027490062110465982464.000000 	 2.000000 
5579295691486166777856.000000 	 3.000000 
-3448194370624298156032.000000 	 4.000000 
2131101320861868359680.000000 	 5.000000 
-1317093049762429796352.000000 	 6.000000 
814008271099438301184.000000 	 7.000000 
-503084778662991560704.000000 	 8.000000 
310923492436446740480.000000 	 9.000000 
-192161286226544885760.000000 	 10.000000 
118762206209901789184.000000 	 11.000000 
-73399080016643137536.000000 	 12.000000 
45363126193258651648.000000 	 13.000000 
-28035953823384477696.000000 	 14.000000 
17327172369874173952.000000 	 15.000000 
-10708781453510303744.000000 	 16.000000 
6618390916363869184.000000 	 17.000000 
-4090390537146434560.000000 	 18.000000 
2528000379217435648.000000 	 19.000000 
-1562390157928998656.000000 	 20.000000 
965610221288436992.000000 	 21.000000 
-596779936640561408.000000 	 22.000000 
368830284647875712.000000 	 23.000000 
-227949651992685696.000000 	 24.000000 
140880632655189968.000000 	 25.000000 
-87069019337495728.000000 	 26.000000 
53811613317694224.000000 	 27.000000 
-33257406019801520.000000 	 28.000000 
20554207297892696.000000 	 29.000000 
-12703198721908824.000000 	 30.000000 
7851008575983876.000000 	 31.000000 
-4852190145924948.000000 	 32.000000 
2998818430058929.000000 	 33.000000 
-1853371715866017.750000 	 34.000000 
1145446714192911.750000 	 35.000000 
-707925001673106.000000 	 36.000000 
437521712519805.687500 	 37.000000 
-270403289153300.312500 	 38.000000 
167118423366505.375000 	 39.000000 
-103284865786794.953125 	 40.000000 
63833557579710.421875 	 41.000000 
-39451308207084.531250 	 42.000000 
24382249372625.914062 	 43.000000 
-15069058834458.615234 	 44.000000 
9313190538167.298828 	 45.000000 
-5755868296291.316406 	 46.000000 
3557322241875.984375 	 47.000000 
-2198546054415.333008 	 48.000000 
1358776187460.651367 	 49.000000 
-839769866954.681396 	 50.000000 
519006320505.970276 	 51.000000 
-320763546448.711121 	 52.000000 
198242774057.259094 	 53.000000 
-122520772391.452011 	 54.000000 
75722001665.807083 	 55.000000 
-46798770725.644928 	 56.000000 
28923230940.162140 	 57.000000 
-17875539785.482788 	 58.000000 
11047691154.679350 	 59.000000 
-6827848630.803434 	 60.000000 
4219842523.875917 	 61.000000 
-2608006106.927518 	 62.000000 
1611836416.948400 	 63.000000 
-996169689.979118 	 64.000000 
615666726.969288 	 65.000000 
-380502963.009818 	 66.000000 
235163763.959493 	 67.000000 
-145339199.050282 	 68.000000 
89824564.909292 	 69.000000 
-55514634.140847 	 70.000000 
34309930.768695 	 71.000000 
-21204703.371720 	 72.000000 
13105227.397703 	 73.000000 
-8099475.972814 	 74.000000 
5005751.426838 	 75.000000 
-3093724.542882 	 76.000000 
1912026.888769 	 77.000000 
-1181697.646772 	 78.000000 
730329.252972 	 79.000000 
-451368.377722 	 80.000000 
278960.898335 	 81.000000 
-172407.446897 	 82.000000 
106553.496253 	 83.000000 
-65853.890060 	 84.000000 
40699.686467 	 85.000000 
-25154.099348 	 86.000000 
15545.719801 	 87.000000 
-9608.214031 	 88.000000 
5937.708134 	 89.000000 
-3670.263403 	 90.000000 
2267.729530 	 91.000000 
-1402.206046 	 92.000000 
865.893333 	 93.000000 
-535.903761 	 94.000000 
330.432764 	 95.000000 
-205.000257 	 96.000000 
125.922556 	 97.000000 
-78.577701 	 98.000000 
47.844855 	 99.000000 
-30.242796 	 100.000000 
18.072798 	 101.000000 
-11.726806 	 102.000000 
6.754944 	 103.000000 
-4.602014 	 104.000000 
2.480758 	 105.000000 
-1.836457 	 106.000000 
0.886795 	 107.000000 
-0.747297 	 108.000000 
0.305013 	 109.000000 
-0.309602 	 110.000000 
0.099656 	 111.000000 
-0.129673 	 112.000000 
0.030568 	 113.000000 
-0.054290 	 114.000000 
0.008768 	 115.000000 
-0.022436 	 116.000000 
0.002410 	 117.000000 
-0.009052 	 118.000000 
0.000700 	 119.000000 
-0.003538 	 120.000000 
0.000255 	 121.000000 
-0.001335 	 122.000000 
0.000122 	 123.000000 
-0.000486 	 124.000000 
0.000068 	 125.000000 
-0.000167 	 126.000000 
0.000044 	 127.000000 
-0.000044 	 128.000000 
0.000044 	 129.000000 
-0.000044 	 130.000000 
0.000044 	 131.000000 
-0.000044 	 132.000000 
0.000044 	 133.000000 
-0.000044 	 134.000000 
0.000044 	 135.000000 
-0.000044 	 136.000000 
0.000044 	 137.000000 
-0.000044 	 138.000000 
0.000044 	 139.000000 
-0.000044 	 140.000000 
0.000044 	 141.000000 
-0.000044 	 142.000000 
0.000044 	 143.000000 
-0.000044 	 144.000000 
0.000044 	 145.000000 
-0.000044 	 146.000000 
0.000044 	 147.000000 
-0.000044 	 148.000000 
0.000044 	 149.000000 
-0.000044 	 150.000000 
0.000044 	 151.000000 
-0.000044 	 152.000000 
0.000044 	 153.000000 
-0.000044 	 154.000000 
0.000044 	 155.000000 
-0.000044 	 156.000000 
0.000044 	 157.000000 
-0.000043 	 158.000000 
0.000044 	 159.000000 
-0.000042 	 160.000000 
0.000047 	 161.000000 
-0.000037 	 162.000000 
0.000056 	 163.000000 
-0.000020 	 164.000000 
0.000087 	 165.000000 
0.000036 	 166.000000 
0.000187 	 167.000000 
0.000207 	 168.000000 
0.000475 	 169.000000 
0.000684 	 170.000000 
0.001246 	 171.000000 
0.001905 	 172.000000 
0.003137 	 173.000000 
0.004770 	 174.000000 
0.007385 	 175.000000 
0.010930 	 176.000000 
0.016121 	 177.000000 
0.023043 	 178.000000 
0.032534 	 179.000000 
0.044771 	 180.000000 
0.060628 	 181.000000 
0.080230 	 182.000000 
0.104289 	 183.000000 
0.132638 	 184.000000 
0.165559 	 185.000000 
0.202321 	 186.000000 
0.242537 	 187.000000 
0.284755 	 188.000000 
0.327871 	 189.000000 
0.369805 	 190.000000 
0.408996 	 191.000000 
0.443148 	 192.000000 
0.470783 	 193.000000 
0.490006 	 194.000000 
0.500044 	 195.000000 
0.499956 	 196.000000 
0.490093 	 197.000000 
0.470696 	 198.000000 
0.443235 	 199.000000 
