Ez 	 x 
0.000000 	 0.000000 
0.000099 	 1.000000 
0.000294 	 2.000000 
0.000388 	 3.000000 
0.000771 	 4.000000 
0.001159 	 5.000000 
0.001992 	 6.000000 
0.003050 	 7.000000 
0.004857 	 8.000000 
0.007298 	 9.000000 
0.011018 	 10.000000 
0.016034 	 11.000000 
0.023130 	 12.000000 
0.032446 	 13.000000 
0.044858 	 14.000000 
0.060541 	 15.000000 
0.080318 	 16.000000 
0.104202 	 17.000000 
0.132726 	 18.000000 
0.165472 	 19.000000 
0.202408 	 20.000000 
0.242450 	 21.000000 
0.284842 	 22.000000 
0.327784 	 23.000000 
0.369892 	 24.000000 
0.408909 	 25.000000 
0.443235 	 26.000000 
0.470696 	 27.000000 
0.490093 	 28.000000 
0.499956 	 29.000000 
0.500044 	 30.000000 
0.490006 	 31.000000 
0.470783 	 32.000000 
0.443148 	 33.000000 
0.408996 	 34.000000 
0.369805 	 35.000000 
0.327871 	 36.000000 
0.284755 	 37.000000 
0.242537 	 38.000000 
0.202321 	 39.000000 
0.165559 	 40.000000 
0.132638 	 41.000000 
0.104289 	 42.000000 
0.080230 	 43.000000 
0.060628 	 44.000000 
0.044771 	 45.000000 
0.032534 	 46.000000 
0.023043 	 47.000000 
0.016121 	 48.000000 
0.010930 	 49.000000 
0.007385 	 50.000000 
0.010930 	 51.000000 
0.016121 	 52.000000 
0.023043 	 53.000000 
0.032534 	 54.000000 
0.044771 	 55.000000 
0.060628 	 56.000000 
0.080230 	 57.000000 
0.104289 	 58.000000 
0.132638 	 59.000000 
0.165559 	 60.000000 
0.202321 	 61.000000 
0.242537 	 62.000000 
0.284755 	 63.000000 
0.327871 	 64.000000 
0.369805 	 65.000000 
0.408996 	 66.000000 
0.443148 	 67.000000 
0.470783 	 68.000000 
0.490006 	 69.000000 
0.500044 	 70.000000 
0.499956 	 71.000000 
0.490093 	 72.000000 
0.470696 	 73.000000 
0.443235 	 74.000000 
0.408909 	 75.000000 
0.369892 	 76.000000 
0.327784 	 77.000000 
0.284842 	 78.000000 
0.242450 	 79.000000 
0.202408 	 80.000000 
0.165472 	 81.000000 
0.132726 	 82.000000 
0.104202 	 83.000000 
0.080318 	 84.000000 
0.060541 	 85.000000 
0.044858 	 86.000000 
0.032446 	 87.000000 
0.023130 	 88.000000 
0.016034 	 89.000000 
0.011018 	 90.000000 
0.007298 	 91.000000 
0.004857 	 92.000000 
0.003050 	 93.000000 
0.001992 	 94.000000 
0.001159 	 95.000000 
0.000771 	 96.000000 
0.000388 	 97.000000 
0.000294 	 98.000000 
0.000099 	 99.000000 
0.000123 	 100.000000 
0.000000 	 101.000000 
0.000000 	 102.000000 
0.000000 	 103.000000 
0.000000 	 104.000000 
0.000000 	 105.000000 
0.000000 	 106.000000 
0.000000 	 107.000000 
0.000000 	 108.000000 
0.000000 	 109.000000 
0.000000 	 110.000000 
0.000000 	 111.000000 
0.000000 	 112.000000 
0.000000 	 113.000000 
0.000000 	 114.000000 
0.000000 	 115.000000 
0.000000 	 116.000000 
0.000000 	 117.000000 
0.000000 	 118.000000 
0.000000 	 119.000000 
0.000000 	 120.000000 
0.000000 	 121.000000 
0.000000 	 122.000000 
0.000000 	 123.000000 
0.000000 	 124.000000 
0.000000 	 125.000000 
0.000000 	 126.000000 
0.000000 	 127.000000 
0.000000 	 128.000000 
0.000000 	 129.000000 
0.000000 	 130.000000 
0.000000 	 131.000000 
0.000000 	 132.000000 
0.000000 	 133.000000 
0.000000 	 134.000000 
0.000000 	 135.000000 
0.000000 	 136.000000 
0.000000 	 137.000000 
0.000000 	 138.000000 
0.000000 	 139.000000 
0.000000 	 140.000000 
0.000000 	 141.000000 
0.000000 	 142.000000 
0.000000 	 143.000000 
0.000000 	 144.000000 
0.000000 	 145.000000 
0.000000 	 146.000000 
0.000000 	 147.000000 
0.000000 	 148.000000 
0.000000 	 149.000000 
0.000000 	 150.000000 
0.000000 	 151.000000 
0.000000 	 152.000000 
0.000000 	 153.000000 
0.000000 	 154.000000 
0.000000 	 155.000000 
0.000000 	 156.000000 
0.000000 	 157.000000 
0.000000 	 158.000000 
0.000000 	 159.000000 
0.000000 	 160.000000 
0.000000 	 161.000000 
0.000000 	 162.000000 
0.000000 	 163.000000 
0.000000 	 164.000000 
0.000000 	 165.000000 
0.000000 	 166.000000 
0.000000 	 167.000000 
0.000000 	 168.000000 
0.000000 	 169.000000 
0.000000 	 170.000000 
0.000000 	 171.000000 
0.000000 	 172.000000 
0.000000 	 173.000000 
0.000000 	 174.000000 
0.000000 	 175.000000 
0.000000 	 176.000000 
0.000000 	 177.000000 
0.000000 	 178.000000 
0.000000 	 179.000000 
0.000000 	 180.000000 
0.000000 	 181.000000 
0.000000 	 182.000000 
0.000000 	 183.000000 
0.000000 	 184.000000 
0.000000 	 185.000000 
0.000000 	 186.000000 
0.000000 	 187.000000 
0.000000 	 188.000000 
0.000000 	 189.000000 
0.000000 	 190.000000 
0.000000 	 191.000000 
0.000000 	 192.000000 
0.000000 	 193.000000 
0.000000 	 194.000000 
0.000000 	 195.000000 
0.000000 	 196.000000 
0.000000 	 197.000000 
0.000000 	 198.000000 
0.000000 	 199.000000 
