Ez 	 x 
0.000000 	 0.000000 
0.008736 	 1.000000 
0.018273 	 2.000000 
0.029397 	 3.000000 
0.042866 	 4.000000 
0.059382 	 5.000000 
0.079546 	 6.000000 
0.103814 	 7.000000 
0.132431 	 8.000000 
0.165372 	 9.000000 
0.202285 	 10.000000 
0.242450 	 11.000000 
0.284842 	 12.000000 
0.327784 	 13.000000 
0.369892 	 14.000000 
0.408909 	 15.000000 
0.443235 	 16.000000 
0.470696 	 17.000000 
0.490093 	 18.000000 
0.499956 	 19.000000 
0.500044 	 20.000000 
0.490006 	 21.000000 
0.470783 	 22.000000 
0.443148 	 23.000000 
0.408996 	 24.000000 
0.369805 	 25.000000 
0.327871 	 26.000000 
0.284755 	 27.000000 
0.242537 	 28.000000 
0.202321 	 29.000000 
0.165559 	 30.000000 
0.132638 	 31.000000 
0.104289 	 32.000000 
0.080230 	 33.000000 
0.060628 	 34.000000 
0.044771 	 35.000000 
0.032534 	 36.000000 
0.023043 	 37.000000 
0.016121 	 38.000000 
0.010930 	 39.000000 
0.007385 	 40.000000 
0.004770 	 41.000000 
0.003137 	 42.000000 
0.001905 	 43.000000 
0.001246 	 44.000000 
0.000684 	 45.000000 
0.000475 	 46.000000 
0.000207 	 47.000000 
0.000187 	 48.000000 
0.000036 	 49.000000 
0.000087 	 50.000000 
0.000036 	 51.000000 
0.000187 	 52.000000 
0.000207 	 53.000000 
0.000475 	 54.000000 
0.000684 	 55.000000 
0.001246 	 56.000000 
0.001905 	 57.000000 
0.003137 	 58.000000 
0.004770 	 59.000000 
0.007385 	 60.000000 
0.010930 	 61.000000 
0.016121 	 62.000000 
0.023043 	 63.000000 
0.032534 	 64.000000 
0.044771 	 65.000000 
0.060628 	 66.000000 
0.080230 	 67.000000 
0.104289 	 68.000000 
0.132638 	 69.000000 
0.165559 	 70.000000 
0.202321 	 71.000000 
0.242537 	 72.000000 
0.284755 	 73.000000 
0.327871 	 74.000000 
0.369805 	 75.000000 
0.408996 	 76.000000 
0.443148 	 77.000000 
0.470783 	 78.000000 
0.490006 	 79.000000 
0.500044 	 80.000000 
0.499956 	 81.000000 
0.490093 	 82.000000 
0.470696 	 83.000000 
0.443235 	 84.000000 
0.408909 	 85.000000 
0.369892 	 86.000000 
0.327784 	 87.000000 
0.284842 	 88.000000 
0.242450 	 89.000000 
0.202408 	 90.000000 
0.165472 	 91.000000 
0.132726 	 92.000000 
0.104202 	 93.000000 
0.080318 	 94.000000 
0.060541 	 95.000000 
0.044858 	 96.000000 
0.032446 	 97.000000 
0.023130 	 98.000000 
0.016034 	 99.000000 
0.011018 	 100.000000 
0.007298 	 101.000000 
0.004857 	 102.000000 
0.003050 	 103.000000 
0.001992 	 104.000000 
0.001159 	 105.000000 
0.000771 	 106.000000 
0.000388 	 107.000000 
0.000294 	 108.000000 
0.000099 	 109.000000 
0.000123 	 110.000000 
0.000000 	 111.000000 
0.000000 	 112.000000 
0.000000 	 113.000000 
0.000000 	 114.000000 
0.000000 	 115.000000 
0.000000 	 116.000000 
0.000000 	 117.000000 
0.000000 	 118.000000 
0.000000 	 119.000000 
0.000000 	 120.000000 
0.000000 	 121.000000 
0.000000 	 122.000000 
0.000000 	 123.000000 
0.000000 	 124.000000 
0.000000 	 125.000000 
0.000000 	 126.000000 
0.000000 	 127.000000 
0.000000 	 128.000000 
0.000000 	 129.000000 
0.000000 	 130.000000 
0.000000 	 131.000000 
0.000000 	 132.000000 
0.000000 	 133.000000 
0.000000 	 134.000000 
0.000000 	 135.000000 
0.000000 	 136.000000 
0.000000 	 137.000000 
0.000000 	 138.000000 
0.000000 	 139.000000 
0.000000 	 140.000000 
0.000000 	 141.000000 
0.000000 	 142.000000 
0.000000 	 143.000000 
0.000000 	 144.000000 
0.000000 	 145.000000 
0.000000 	 146.000000 
0.000000 	 147.000000 
0.000000 	 148.000000 
0.000000 	 149.000000 
0.000000 	 150.000000 
0.000000 	 151.000000 
0.000000 	 152.000000 
0.000000 	 153.000000 
0.000000 	 154.000000 
0.000000 	 155.000000 
0.000000 	 156.000000 
0.000000 	 157.000000 
0.000000 	 158.000000 
0.000000 	 159.000000 
0.000000 	 160.000000 
0.000000 	 161.000000 
0.000000 	 162.000000 
0.000000 	 163.000000 
0.000000 	 164.000000 
0.000000 	 165.000000 
0.000000 	 166.000000 
0.000000 	 167.000000 
0.000000 	 168.000000 
0.000000 	 169.000000 
0.000000 	 170.000000 
0.000000 	 171.000000 
0.000000 	 172.000000 
0.000000 	 173.000000 
0.000000 	 174.000000 
0.000000 	 175.000000 
0.000000 	 176.000000 
0.000000 	 177.000000 
0.000000 	 178.000000 
0.000000 	 179.000000 
0.000000 	 180.000000 
0.000000 	 181.000000 
0.000000 	 182.000000 
0.000000 	 183.000000 
0.000000 	 184.000000 
0.000000 	 185.000000 
0.000000 	 186.000000 
0.000000 	 187.000000 
0.000000 	 188.000000 
0.000000 	 189.000000 
0.000000 	 190.000000 
0.000000 	 191.000000 
0.000000 	 192.000000 
0.000000 	 193.000000 
0.000000 	 194.000000 
0.000000 	 195.000000 
0.000000 	 196.000000 
0.000000 	 197.000000 
0.000000 	 198.000000 
0.000000 	 199.000000 
