Ez 	 x 
0.000000 	 0.000000 
0.076979 	 1.000000 
0.152117 	 2.000000 
0.223582 	 3.000000 
0.289575 	 4.000000 
0.348368 	 5.000000 
0.398377 	 6.000000 
0.438250 	 7.000000 
0.466964 	 8.000000 
0.483922 	 9.000000 
0.489026 	 10.000000 
0.482708 	 11.000000 
0.465926 	 12.000000 
0.440098 	 13.000000 
0.407004 	 14.000000 
0.368646 	 15.000000 
0.327100 	 16.000000 
0.284367 	 17.000000 
0.242243 	 18.000000 
0.202221 	 19.000000 
0.165435 	 20.000000 
0.132638 	 21.000000 
0.104289 	 22.000000 
0.080230 	 23.000000 
0.060628 	 24.000000 
0.044771 	 25.000000 
0.032534 	 26.000000 
0.023043 	 27.000000 
0.016121 	 28.000000 
0.010930 	 29.000000 
0.007385 	 30.000000 
0.004770 	 31.000000 
0.003137 	 32.000000 
0.001905 	 33.000000 
0.001246 	 34.000000 
0.000684 	 35.000000 
0.000475 	 36.000000 
0.000207 	 37.000000 
0.000187 	 38.000000 
0.000036 	 39.000000 
0.000087 	 40.000000 
-0.000020 	 41.000000 
0.000056 	 42.000000 
-0.000037 	 43.000000 
0.000047 	 44.000000 
-0.000042 	 45.000000 
0.000044 	 46.000000 
-0.000043 	 47.000000 
0.000044 	 48.000000 
-0.000044 	 49.000000 
0.000044 	 50.000000 
-0.000044 	 51.000000 
0.000044 	 52.000000 
-0.000043 	 53.000000 
0.000044 	 54.000000 
-0.000042 	 55.000000 
0.000047 	 56.000000 
-0.000037 	 57.000000 
0.000056 	 58.000000 
-0.000020 	 59.000000 
0.000087 	 60.000000 
0.000036 	 61.000000 
0.000187 	 62.000000 
0.000207 	 63.000000 
0.000475 	 64.000000 
0.000684 	 65.000000 
0.001246 	 66.000000 
0.001905 	 67.000000 
0.003137 	 68.000000 
0.004770 	 69.000000 
0.007385 	 70.000000 
0.010930 	 71.000000 
0.016121 	 72.000000 
0.023043 	 73.000000 
0.032534 	 74.000000 
0.044771 	 75.000000 
0.060628 	 76.000000 
0.080230 	 77.000000 
0.104289 	 78.000000 
0.132638 	 79.000000 
0.165559 	 80.000000 
0.202321 	 81.000000 
0.242537 	 82.000000 
0.284755 	 83.000000 
0.327871 	 84.000000 
0.369805 	 85.000000 
0.408996 	 86.000000 
0.443148 	 87.000000 
0.470783 	 88.000000 
0.490006 	 89.000000 
0.500044 	 90.000000 
0.499956 	 91.000000 
0.490093 	 92.000000 
0.470696 	 93.000000 
0.443235 	 94.000000 
0.408909 	 95.000000 
0.369892 	 96.000000 
0.327784 	 97.000000 
0.284842 	 98.000000 
0.242450 	 99.000000 
0.202408 	 100.000000 
0.165472 	 101.000000 
0.132726 	 102.000000 
0.104202 	 103.000000 
0.080318 	 104.000000 
0.060541 	 105.000000 
0.044858 	 106.000000 
0.032446 	 107.000000 
0.023130 	 108.000000 
0.016034 	 109.000000 
0.011018 	 110.000000 
0.007298 	 111.000000 
0.004857 	 112.000000 
0.003050 	 113.000000 
0.001992 	 114.000000 
0.001159 	 115.000000 
0.000771 	 116.000000 
0.000388 	 117.000000 
0.000294 	 118.000000 
0.000099 	 119.000000 
0.000123 	 120.000000 
0.000000 	 121.000000 
0.000000 	 122.000000 
0.000000 	 123.000000 
0.000000 	 124.000000 
0.000000 	 125.000000 
0.000000 	 126.000000 
0.000000 	 127.000000 
0.000000 	 128.000000 
0.000000 	 129.000000 
0.000000 	 130.000000 
0.000000 	 131.000000 
0.000000 	 132.000000 
0.000000 	 133.000000 
0.000000 	 134.000000 
0.000000 	 135.000000 
0.000000 	 136.000000 
0.000000 	 137.000000 
0.000000 	 138.000000 
0.000000 	 139.000000 
0.000000 	 140.000000 
0.000000 	 141.000000 
0.000000 	 142.000000 
0.000000 	 143.000000 
0.000000 	 144.000000 
0.000000 	 145.000000 
0.000000 	 146.000000 
0.000000 	 147.000000 
0.000000 	 148.000000 
0.000000 	 149.000000 
0.000000 	 150.000000 
0.000000 	 151.000000 
0.000000 	 152.000000 
0.000000 	 153.000000 
0.000000 	 154.000000 
0.000000 	 155.000000 
0.000000 	 156.000000 
0.000000 	 157.000000 
0.000000 	 158.000000 
0.000000 	 159.000000 
0.000000 	 160.000000 
0.000000 	 161.000000 
0.000000 	 162.000000 
0.000000 	 163.000000 
0.000000 	 164.000000 
0.000000 	 165.000000 
0.000000 	 166.000000 
0.000000 	 167.000000 
0.000000 	 168.000000 
0.000000 	 169.000000 
0.000000 	 170.000000 
0.000000 	 171.000000 
0.000000 	 172.000000 
0.000000 	 173.000000 
0.000000 	 174.000000 
0.000000 	 175.000000 
0.000000 	 176.000000 
0.000000 	 177.000000 
0.000000 	 178.000000 
0.000000 	 179.000000 
0.000000 	 180.000000 
0.000000 	 181.000000 
0.000000 	 182.000000 
0.000000 	 183.000000 
0.000000 	 184.000000 
0.000000 	 185.000000 
0.000000 	 186.000000 
0.000000 	 187.000000 
0.000000 	 188.000000 
0.000000 	 189.000000 
0.000000 	 190.000000 
0.000000 	 191.000000 
0.000000 	 192.000000 
0.000000 	 193.000000 
0.000000 	 194.000000 
0.000000 	 195.000000 
0.000000 	 196.000000 
0.000000 	 197.000000 
0.000000 	 198.000000 
0.000000 	 199.000000 
