Ez 	 x 
0.000000 	 0.000000 
-0.069682 	 1.000000 
-0.138248 	 2.000000 
-0.204525 	 3.000000 
-0.267243 	 4.000000 
-0.325034 	 5.000000 
-0.376462 	 6.000000 
-0.420105 	 7.000000 
-0.454662 	 8.000000 
-0.479076 	 9.000000 
-0.492658 	 10.000000 
-0.495186 	 11.000000 
-0.486956 	 12.000000 
-0.468791 	 13.000000 
-0.441989 	 14.000000 
-0.408225 	 15.000000 
-0.369417 	 16.000000 
-0.327577 	 17.000000 
-0.284656 	 18.000000 
-0.242414 	 19.000000 
-0.202321 	 20.000000 
-0.165492 	 21.000000 
-0.132670 	 22.000000 
-0.104239 	 23.000000 
-0.080271 	 24.000000 
-0.060583 	 25.000000 
-0.044814 	 26.000000 
-0.032490 	 27.000000 
-0.023086 	 28.000000 
-0.016078 	 29.000000 
-0.010974 	 30.000000 
-0.007342 	 31.000000 
-0.004814 	 32.000000 
-0.003093 	 33.000000 
-0.001948 	 34.000000 
-0.001203 	 35.000000 
-0.000728 	 36.000000 
-0.000432 	 37.000000 
-0.000251 	 38.000000 
-0.000143 	 39.000000 
-0.000080 	 40.000000 
-0.000044 	 41.000000 
0.000044 	 42.000000 
-0.000044 	 43.000000 
0.000044 	 44.000000 
-0.000044 	 45.000000 
0.000044 	 46.000000 
-0.000044 	 47.000000 
0.000044 	 48.000000 
-0.000044 	 49.000000 
0.000044 	 50.000000 
-0.000044 	 51.000000 
0.000044 	 52.000000 
-0.000044 	 53.000000 
0.000044 	 54.000000 
-0.000044 	 55.000000 
0.000044 	 56.000000 
-0.000044 	 57.000000 
0.000044 	 58.000000 
-0.000044 	 59.000000 
0.000044 	 60.000000 
-0.000044 	 61.000000 
0.000044 	 62.000000 
-0.000044 	 63.000000 
0.000044 	 64.000000 
-0.000044 	 65.000000 
0.000044 	 66.000000 
-0.000044 	 67.000000 
0.000044 	 68.000000 
-0.000044 	 69.000000 
0.000044 	 70.000000 
-0.000044 	 71.000000 
0.000044 	 72.000000 
-0.000043 	 73.000000 
0.000044 	 74.000000 
-0.000042 	 75.000000 
0.000047 	 76.000000 
-0.000037 	 77.000000 
0.000056 	 78.000000 
-0.000020 	 79.000000 
0.000087 	 80.000000 
0.000036 	 81.000000 
0.000187 	 82.000000 
0.000207 	 83.000000 
0.000475 	 84.000000 
0.000684 	 85.000000 
0.001246 	 86.000000 
0.001905 	 87.000000 
0.003137 	 88.000000 
0.004770 	 89.000000 
0.007385 	 90.000000 
0.010930 	 91.000000 
0.016121 	 92.000000 
0.023043 	 93.000000 
0.032534 	 94.000000 
0.044771 	 95.000000 
0.060628 	 96.000000 
0.080230 	 97.000000 
0.104289 	 98.000000 
0.132638 	 99.000000 
0.165559 	 100.000000 
0.202321 	 101.000000 
0.242537 	 102.000000 
0.284755 	 103.000000 
0.327871 	 104.000000 
0.369805 	 105.000000 
0.408996 	 106.000000 
0.443148 	 107.000000 
0.470783 	 108.000000 
0.490006 	 109.000000 
0.500044 	 110.000000 
0.499956 	 111.000000 
0.490093 	 112.000000 
0.470696 	 113.000000 
0.443235 	 114.000000 
0.408909 	 115.000000 
0.369892 	 116.000000 
0.327784 	 117.000000 
0.284842 	 118.000000 
0.242450 	 119.000000 
0.202408 	 120.000000 
0.165472 	 121.000000 
0.132726 	 122.000000 
0.104202 	 123.000000 
0.080318 	 124.000000 
0.060541 	 125.000000 
0.044858 	 126.000000 
0.032446 	 127.000000 
0.023130 	 128.000000 
0.016034 	 129.000000 
0.011018 	 130.000000 
0.007298 	 131.000000 
0.004857 	 132.000000 
0.003050 	 133.000000 
0.001992 	 134.000000 
0.001159 	 135.000000 
0.000771 	 136.000000 
0.000388 	 137.000000 
0.000294 	 138.000000 
0.000099 	 139.000000 
0.000123 	 140.000000 
0.000000 	 141.000000 
0.000000 	 142.000000 
0.000000 	 143.000000 
0.000000 	 144.000000 
0.000000 	 145.000000 
0.000000 	 146.000000 
0.000000 	 147.000000 
0.000000 	 148.000000 
0.000000 	 149.000000 
0.000000 	 150.000000 
0.000000 	 151.000000 
0.000000 	 152.000000 
0.000000 	 153.000000 
0.000000 	 154.000000 
0.000000 	 155.000000 
0.000000 	 156.000000 
0.000000 	 157.000000 
0.000000 	 158.000000 
0.000000 	 159.000000 
0.000000 	 160.000000 
0.000000 	 161.000000 
0.000000 	 162.000000 
0.000000 	 163.000000 
0.000000 	 164.000000 
0.000000 	 165.000000 
0.000000 	 166.000000 
0.000000 	 167.000000 
0.000000 	 168.000000 
0.000000 	 169.000000 
0.000000 	 170.000000 
0.000000 	 171.000000 
0.000000 	 172.000000 
0.000000 	 173.000000 
0.000000 	 174.000000 
0.000000 	 175.000000 
0.000000 	 176.000000 
0.000000 	 177.000000 
0.000000 	 178.000000 
0.000000 	 179.000000 
0.000000 	 180.000000 
0.000000 	 181.000000 
0.000000 	 182.000000 
0.000000 	 183.000000 
0.000000 	 184.000000 
0.000000 	 185.000000 
0.000000 	 186.000000 
0.000000 	 187.000000 
0.000000 	 188.000000 
0.000000 	 189.000000 
0.000000 	 190.000000 
0.000000 	 191.000000 
0.000000 	 192.000000 
0.000000 	 193.000000 
0.000000 	 194.000000 
0.000000 	 195.000000 
0.000000 	 196.000000 
0.000000 	 197.000000 
0.000000 	 198.000000 
0.000000 	 199.000000 
