Ez 	 x 
0.000000 	 0.000000 
-0.000056 	 1.000000 
-0.000131 	 2.000000 
-0.000244 	 3.000000 
-0.000428 	 4.000000 
-0.000726 	 5.000000 
-0.001202 	 6.000000 
-0.001948 	 7.000000 
-0.003093 	 8.000000 
-0.004814 	 9.000000 
-0.007341 	 10.000000 
-0.010974 	 11.000000 
-0.016078 	 12.000000 
-0.023086 	 13.000000 
-0.032490 	 14.000000 
-0.044815 	 15.000000 
-0.060585 	 16.000000 
-0.080274 	 17.000000 
-0.104246 	 18.000000 
-0.132682 	 19.000000 
-0.165515 	 20.000000 
-0.202364 	 21.000000 
-0.242494 	 22.000000 
-0.284799 	 23.000000 
-0.327828 	 24.000000 
-0.369849 	 25.000000 
-0.408952 	 26.000000 
-0.443192 	 27.000000 
-0.470740 	 28.000000 
-0.490050 	 29.000000 
-0.500000 	 30.000000 
-0.500000 	 31.000000 
-0.490050 	 32.000000 
-0.470740 	 33.000000 
-0.443192 	 34.000000 
-0.408952 	 35.000000 
-0.369849 	 36.000000 
-0.327828 	 37.000000 
-0.284799 	 38.000000 
-0.242494 	 39.000000 
-0.202364 	 40.000000 
-0.165515 	 41.000000 
-0.132682 	 42.000000 
-0.104246 	 43.000000 
-0.080274 	 44.000000 
-0.060585 	 45.000000 
-0.044815 	 46.000000 
-0.032490 	 47.000000 
-0.023086 	 48.000000 
-0.016078 	 49.000000 
-0.010974 	 50.000000 
-0.007342 	 51.000000 
-0.004814 	 52.000000 
-0.003093 	 53.000000 
-0.001948 	 54.000000 
-0.001203 	 55.000000 
-0.000728 	 56.000000 
-0.000432 	 57.000000 
-0.000251 	 58.000000 
-0.000143 	 59.000000 
-0.000080 	 60.000000 
-0.000044 	 61.000000 
0.000044 	 62.000000 
-0.000044 	 63.000000 
0.000044 	 64.000000 
-0.000044 	 65.000000 
0.000044 	 66.000000 
-0.000044 	 67.000000 
0.000044 	 68.000000 
-0.000044 	 69.000000 
0.000044 	 70.000000 
-0.000044 	 71.000000 
0.000044 	 72.000000 
-0.000044 	 73.000000 
0.000044 	 74.000000 
-0.000044 	 75.000000 
0.000044 	 76.000000 
-0.000044 	 77.000000 
0.000044 	 78.000000 
-0.000044 	 79.000000 
0.000044 	 80.000000 
-0.000044 	 81.000000 
0.000044 	 82.000000 
-0.000044 	 83.000000 
0.000044 	 84.000000 
-0.000044 	 85.000000 
0.000044 	 86.000000 
-0.000044 	 87.000000 
0.000044 	 88.000000 
-0.000044 	 89.000000 
0.000044 	 90.000000 
-0.000044 	 91.000000 
0.000044 	 92.000000 
-0.000043 	 93.000000 
0.000044 	 94.000000 
-0.000042 	 95.000000 
0.000047 	 96.000000 
-0.000037 	 97.000000 
0.000056 	 98.000000 
-0.000020 	 99.000000 
0.000087 	 100.000000 
0.000036 	 101.000000 
0.000187 	 102.000000 
0.000207 	 103.000000 
0.000475 	 104.000000 
0.000684 	 105.000000 
0.001246 	 106.000000 
0.001905 	 107.000000 
0.003137 	 108.000000 
0.004770 	 109.000000 
0.007385 	 110.000000 
0.010930 	 111.000000 
0.016121 	 112.000000 
0.023043 	 113.000000 
0.032534 	 114.000000 
0.044771 	 115.000000 
0.060628 	 116.000000 
0.080230 	 117.000000 
0.104289 	 118.000000 
0.132638 	 119.000000 
0.165559 	 120.000000 
0.202321 	 121.000000 
0.242537 	 122.000000 
0.284755 	 123.000000 
0.327871 	 124.000000 
0.369805 	 125.000000 
0.408996 	 126.000000 
0.443148 	 127.000000 
0.470783 	 128.000000 
0.490006 	 129.000000 
0.500044 	 130.000000 
0.499956 	 131.000000 
0.490093 	 132.000000 
0.470696 	 133.000000 
0.443235 	 134.000000 
0.408909 	 135.000000 
0.369892 	 136.000000 
0.327784 	 137.000000 
0.284842 	 138.000000 
0.242450 	 139.000000 
0.202408 	 140.000000 
0.165472 	 141.000000 
0.132726 	 142.000000 
0.104202 	 143.000000 
0.080318 	 144.000000 
0.060541 	 145.000000 
0.044858 	 146.000000 
0.032446 	 147.000000 
0.023130 	 148.000000 
0.016034 	 149.000000 
0.011018 	 150.000000 
0.007298 	 151.000000 
0.004857 	 152.000000 
0.003050 	 153.000000 
0.001992 	 154.000000 
0.001159 	 155.000000 
0.000771 	 156.000000 
0.000388 	 157.000000 
0.000294 	 158.000000 
0.000099 	 159.000000 
0.000123 	 160.000000 
0.000000 	 161.000000 
0.000000 	 162.000000 
0.000000 	 163.000000 
0.000000 	 164.000000 
0.000000 	 165.000000 
0.000000 	 166.000000 
0.000000 	 167.000000 
0.000000 	 168.000000 
0.000000 	 169.000000 
0.000000 	 170.000000 
0.000000 	 171.000000 
0.000000 	 172.000000 
0.000000 	 173.000000 
0.000000 	 174.000000 
0.000000 	 175.000000 
0.000000 	 176.000000 
0.000000 	 177.000000 
0.000000 	 178.000000 
0.000000 	 179.000000 
0.000000 	 180.000000 
0.000000 	 181.000000 
0.000000 	 182.000000 
0.000000 	 183.000000 
0.000000 	 184.000000 
0.000000 	 185.000000 
0.000000 	 186.000000 
0.000000 	 187.000000 
0.000000 	 188.000000 
0.000000 	 189.000000 
0.000000 	 190.000000 
0.000000 	 191.000000 
0.000000 	 192.000000 
0.000000 	 193.000000 
0.000000 	 194.000000 
0.000000 	 195.000000 
0.000000 	 196.000000 
0.000000 	 197.000000 
0.000000 	 198.000000 
0.000000 	 199.000000 
