Ez 	 x 
0.000000 	 0.000000 
-0.000000 	 1.000000 
-0.000000 	 2.000000 
-0.000000 	 3.000000 
-0.000001 	 4.000000 
-0.000002 	 5.000000 
-0.000003 	 6.000000 
-0.000006 	 7.000000 
-0.000012 	 8.000000 
-0.000023 	 9.000000 
-0.000044 	 10.000000 
-0.000080 	 11.000000 
-0.000143 	 12.000000 
-0.000251 	 13.000000 
-0.000432 	 14.000000 
-0.000728 	 15.000000 
-0.001203 	 16.000000 
-0.001948 	 17.000000 
-0.003093 	 18.000000 
-0.004814 	 19.000000 
-0.007342 	 20.000000 
-0.010974 	 21.000000 
-0.016078 	 22.000000 
-0.023086 	 23.000000 
-0.032490 	 24.000000 
-0.044815 	 25.000000 
-0.060585 	 26.000000 
-0.080274 	 27.000000 
-0.104246 	 28.000000 
-0.132682 	 29.000000 
-0.165515 	 30.000000 
-0.202364 	 31.000000 
-0.242494 	 32.000000 
-0.284799 	 33.000000 
-0.327828 	 34.000000 
-0.369849 	 35.000000 
-0.408952 	 36.000000 
-0.443192 	 37.000000 
-0.470740 	 38.000000 
-0.490050 	 39.000000 
-0.500000 	 40.000000 
-0.500000 	 41.000000 
-0.490050 	 42.000000 
-0.470740 	 43.000000 
-0.443192 	 44.000000 
-0.408952 	 45.000000 
-0.369849 	 46.000000 
-0.327828 	 47.000000 
-0.284799 	 48.000000 
-0.242494 	 49.000000 
-0.202364 	 50.000000 
-0.165515 	 51.000000 
-0.132682 	 52.000000 
-0.104246 	 53.000000 
-0.080274 	 54.000000 
-0.060585 	 55.000000 
-0.044815 	 56.000000 
-0.032490 	 57.000000 
-0.023086 	 58.000000 
-0.016078 	 59.000000 
-0.010974 	 60.000000 
-0.007342 	 61.000000 
-0.004814 	 62.000000 
-0.003093 	 63.000000 
-0.001948 	 64.000000 
-0.001203 	 65.000000 
-0.000728 	 66.000000 
-0.000432 	 67.000000 
-0.000251 	 68.000000 
-0.000143 	 69.000000 
-0.000080 	 70.000000 
-0.000044 	 71.000000 
0.000044 	 72.000000 
-0.000044 	 73.000000 
0.000044 	 74.000000 
-0.000044 	 75.000000 
0.000044 	 76.000000 
-0.000044 	 77.000000 
0.000044 	 78.000000 
-0.000044 	 79.000000 
0.000044 	 80.000000 
-0.000044 	 81.000000 
0.000044 	 82.000000 
-0.000044 	 83.000000 
0.000044 	 84.000000 
-0.000044 	 85.000000 
0.000044 	 86.000000 
-0.000044 	 87.000000 
0.000044 	 88.000000 
-0.000044 	 89.000000 
0.000044 	 90.000000 
-0.000044 	 91.000000 
0.000044 	 92.000000 
-0.000044 	 93.000000 
0.000044 	 94.000000 
-0.000044 	 95.000000 
0.000044 	 96.000000 
-0.000044 	 97.000000 
0.000044 	 98.000000 
-0.000044 	 99.000000 
0.000044 	 100.000000 
-0.000044 	 101.000000 
0.000044 	 102.000000 
-0.000043 	 103.000000 
0.000044 	 104.000000 
-0.000042 	 105.000000 
0.000047 	 106.000000 
-0.000037 	 107.000000 
0.000056 	 108.000000 
-0.000020 	 109.000000 
0.000087 	 110.000000 
0.000036 	 111.000000 
0.000187 	 112.000000 
0.000207 	 113.000000 
0.000475 	 114.000000 
0.000684 	 115.000000 
0.001246 	 116.000000 
0.001905 	 117.000000 
0.003137 	 118.000000 
0.004770 	 119.000000 
0.007385 	 120.000000 
0.010930 	 121.000000 
0.016121 	 122.000000 
0.023043 	 123.000000 
0.032534 	 124.000000 
0.044771 	 125.000000 
0.060628 	 126.000000 
0.080230 	 127.000000 
0.104289 	 128.000000 
0.132638 	 129.000000 
0.165559 	 130.000000 
0.202321 	 131.000000 
0.242537 	 132.000000 
0.284755 	 133.000000 
0.327871 	 134.000000 
0.369805 	 135.000000 
0.408996 	 136.000000 
0.443148 	 137.000000 
0.470783 	 138.000000 
0.490006 	 139.000000 
0.500044 	 140.000000 
0.499956 	 141.000000 
0.490093 	 142.000000 
0.470696 	 143.000000 
0.443235 	 144.000000 
0.408909 	 145.000000 
0.369892 	 146.000000 
0.327784 	 147.000000 
0.284842 	 148.000000 
0.242450 	 149.000000 
0.202408 	 150.000000 
0.165472 	 151.000000 
0.132726 	 152.000000 
0.104202 	 153.000000 
0.080318 	 154.000000 
0.060541 	 155.000000 
0.044858 	 156.000000 
0.032446 	 157.000000 
0.023130 	 158.000000 
0.016034 	 159.000000 
0.011018 	 160.000000 
0.007298 	 161.000000 
0.004857 	 162.000000 
0.003050 	 163.000000 
0.001992 	 164.000000 
0.001159 	 165.000000 
0.000771 	 166.000000 
0.000388 	 167.000000 
0.000294 	 168.000000 
0.000099 	 169.000000 
0.000123 	 170.000000 
0.000000 	 171.000000 
0.000000 	 172.000000 
0.000000 	 173.000000 
0.000000 	 174.000000 
0.000000 	 175.000000 
0.000000 	 176.000000 
0.000000 	 177.000000 
0.000000 	 178.000000 
0.000000 	 179.000000 
0.000000 	 180.000000 
0.000000 	 181.000000 
0.000000 	 182.000000 
0.000000 	 183.000000 
0.000000 	 184.000000 
0.000000 	 185.000000 
0.000000 	 186.000000 
0.000000 	 187.000000 
0.000000 	 188.000000 
0.000000 	 189.000000 
0.000000 	 190.000000 
0.000000 	 191.000000 
0.000000 	 192.000000 
0.000000 	 193.000000 
0.000000 	 194.000000 
0.000000 	 195.000000 
0.000000 	 196.000000 
0.000000 	 197.000000 
0.000000 	 198.000000 
0.000000 	 199.000000 
