Ez 	 x 
0.000000 	 0.000000 
-0.000000 	 1.000000 
-0.000000 	 2.000000 
-0.000000 	 3.000000 
-0.000000 	 4.000000 
-0.000000 	 5.000000 
-0.000000 	 6.000000 
-0.000000 	 7.000000 
-0.000000 	 8.000000 
-0.000000 	 9.000000 
-0.000000 	 10.000000 
-0.000000 	 11.000000 
-0.000000 	 12.000000 
-0.000000 	 13.000000 
-0.000001 	 14.000000 
-0.000002 	 15.000000 
-0.000003 	 16.000000 
-0.000006 	 17.000000 
-0.000012 	 18.000000 
-0.000023 	 19.000000 
-0.000044 	 20.000000 
-0.000080 	 21.000000 
-0.000143 	 22.000000 
-0.000251 	 23.000000 
-0.000432 	 24.000000 
-0.000728 	 25.000000 
-0.001203 	 26.000000 
-0.001948 	 27.000000 
-0.003093 	 28.000000 
-0.004814 	 29.000000 
-0.007342 	 30.000000 
-0.010974 	 31.000000 
-0.016078 	 32.000000 
-0.023086 	 33.000000 
-0.032490 	 34.000000 
-0.044815 	 35.000000 
-0.060585 	 36.000000 
-0.080274 	 37.000000 
-0.104246 	 38.000000 
-0.132682 	 39.000000 
-0.165515 	 40.000000 
-0.202364 	 41.000000 
-0.242494 	 42.000000 
-0.284799 	 43.000000 
-0.327828 	 44.000000 
-0.369849 	 45.000000 
-0.408952 	 46.000000 
-0.443192 	 47.000000 
-0.470740 	 48.000000 
-0.490050 	 49.000000 
-0.500000 	 50.000000 
-0.500000 	 51.000000 
-0.490050 	 52.000000 
-0.470740 	 53.000000 
-0.443192 	 54.000000 
-0.408952 	 55.000000 
-0.369849 	 56.000000 
-0.327828 	 57.000000 
-0.284799 	 58.000000 
-0.242494 	 59.000000 
-0.202364 	 60.000000 
-0.165515 	 61.000000 
-0.132682 	 62.000000 
-0.104246 	 63.000000 
-0.080274 	 64.000000 
-0.060585 	 65.000000 
-0.044815 	 66.000000 
-0.032490 	 67.000000 
-0.023086 	 68.000000 
-0.016078 	 69.000000 
-0.010974 	 70.000000 
-0.007342 	 71.000000 
-0.004814 	 72.000000 
-0.003093 	 73.000000 
-0.001948 	 74.000000 
-0.001203 	 75.000000 
-0.000728 	 76.000000 
-0.000432 	 77.000000 
-0.000251 	 78.000000 
-0.000143 	 79.000000 
-0.000080 	 80.000000 
-0.000044 	 81.000000 
0.000044 	 82.000000 
-0.000044 	 83.000000 
0.000044 	 84.000000 
-0.000044 	 85.000000 
0.000044 	 86.000000 
-0.000044 	 87.000000 
0.000044 	 88.000000 
-0.000044 	 89.000000 
0.000044 	 90.000000 
-0.000044 	 91.000000 
0.000044 	 92.000000 
-0.000044 	 93.000000 
0.000044 	 94.000000 
-0.000044 	 95.000000 
0.000044 	 96.000000 
-0.000044 	 97.000000 
0.000044 	 98.000000 
-0.000044 	 99.000000 
0.000044 	 100.000000 
-0.000044 	 101.000000 
0.000044 	 102.000000 
-0.000044 	 103.000000 
0.000044 	 104.000000 
-0.000044 	 105.000000 
0.000044 	 106.000000 
-0.000044 	 107.000000 
0.000044 	 108.000000 
-0.000044 	 109.000000 
0.000044 	 110.000000 
-0.000044 	 111.000000 
0.000044 	 112.000000 
-0.000043 	 113.000000 
0.000044 	 114.000000 
-0.000042 	 115.000000 
0.000047 	 116.000000 
-0.000037 	 117.000000 
0.000056 	 118.000000 
-0.000020 	 119.000000 
0.000087 	 120.000000 
0.000036 	 121.000000 
0.000187 	 122.000000 
0.000207 	 123.000000 
0.000475 	 124.000000 
0.000684 	 125.000000 
0.001246 	 126.000000 
0.001905 	 127.000000 
0.003137 	 128.000000 
0.004770 	 129.000000 
0.007385 	 130.000000 
0.010930 	 131.000000 
0.016121 	 132.000000 
0.023043 	 133.000000 
0.032534 	 134.000000 
0.044771 	 135.000000 
0.060628 	 136.000000 
0.080230 	 137.000000 
0.104289 	 138.000000 
0.132638 	 139.000000 
0.165559 	 140.000000 
0.202321 	 141.000000 
0.242537 	 142.000000 
0.284755 	 143.000000 
0.327871 	 144.000000 
0.369805 	 145.000000 
0.408996 	 146.000000 
0.443148 	 147.000000 
0.470783 	 148.000000 
0.490006 	 149.000000 
0.500044 	 150.000000 
0.499956 	 151.000000 
0.490093 	 152.000000 
0.470696 	 153.000000 
0.443235 	 154.000000 
0.408909 	 155.000000 
0.369892 	 156.000000 
0.327784 	 157.000000 
0.284842 	 158.000000 
0.242450 	 159.000000 
0.202408 	 160.000000 
0.165472 	 161.000000 
0.132726 	 162.000000 
0.104202 	 163.000000 
0.080318 	 164.000000 
0.060541 	 165.000000 
0.044858 	 166.000000 
0.032446 	 167.000000 
0.023130 	 168.000000 
0.016034 	 169.000000 
0.011018 	 170.000000 
0.007298 	 171.000000 
0.004857 	 172.000000 
0.003050 	 173.000000 
0.001992 	 174.000000 
0.001159 	 175.000000 
0.000771 	 176.000000 
0.000388 	 177.000000 
0.000294 	 178.000000 
0.000099 	 179.000000 
0.000123 	 180.000000 
0.000000 	 181.000000 
0.000000 	 182.000000 
0.000000 	 183.000000 
0.000000 	 184.000000 
0.000000 	 185.000000 
0.000000 	 186.000000 
0.000000 	 187.000000 
0.000000 	 188.000000 
0.000000 	 189.000000 
0.000000 	 190.000000 
0.000000 	 191.000000 
0.000000 	 192.000000 
0.000000 	 193.000000 
0.000000 	 194.000000 
0.000000 	 195.000000 
0.000000 	 196.000000 
0.000000 	 197.000000 
0.000000 	 198.000000 
0.000000 	 199.000000 
