Ez 	 x 
0.000000 	 0.000000 
-0.000000 	 1.000000 
-0.000000 	 2.000000 
-0.000000 	 3.000000 
-0.000000 	 4.000000 
-0.000000 	 5.000000 
-0.000000 	 6.000000 
-0.000000 	 7.000000 
-0.000000 	 8.000000 
-0.000000 	 9.000000 
-0.000000 	 10.000000 
-0.000000 	 11.000000 
-0.000000 	 12.000000 
-0.000000 	 13.000000 
-0.000000 	 14.000000 
-0.000000 	 15.000000 
-0.000000 	 16.000000 
-0.000000 	 17.000000 
-0.000000 	 18.000000 
-0.000000 	 19.000000 
-0.000000 	 20.000000 
-0.000000 	 21.000000 
-0.000000 	 22.000000 
-0.000000 	 23.000000 
-0.000001 	 24.000000 
-0.000002 	 25.000000 
-0.000003 	 26.000000 
-0.000006 	 27.000000 
-0.000012 	 28.000000 
-0.000023 	 29.000000 
-0.000044 	 30.000000 
-0.000080 	 31.000000 
-0.000143 	 32.000000 
-0.000251 	 33.000000 
-0.000432 	 34.000000 
-0.000728 	 35.000000 
-0.001203 	 36.000000 
-0.001948 	 37.000000 
-0.003093 	 38.000000 
-0.004814 	 39.000000 
-0.007342 	 40.000000 
-0.010974 	 41.000000 
-0.016078 	 42.000000 
-0.023086 	 43.000000 
-0.032490 	 44.000000 
-0.044815 	 45.000000 
-0.060585 	 46.000000 
-0.080274 	 47.000000 
-0.104246 	 48.000000 
-0.132682 	 49.000000 
-0.165515 	 50.000000 
-0.202364 	 51.000000 
-0.242494 	 52.000000 
-0.284799 	 53.000000 
-0.327828 	 54.000000 
-0.369849 	 55.000000 
-0.408952 	 56.000000 
-0.443192 	 57.000000 
-0.470740 	 58.000000 
-0.490050 	 59.000000 
-0.500000 	 60.000000 
-0.500000 	 61.000000 
-0.490050 	 62.000000 
-0.470740 	 63.000000 
-0.443192 	 64.000000 
-0.408952 	 65.000000 
-0.369849 	 66.000000 
-0.327828 	 67.000000 
-0.284799 	 68.000000 
-0.242494 	 69.000000 
-0.202364 	 70.000000 
-0.165515 	 71.000000 
-0.132682 	 72.000000 
-0.104246 	 73.000000 
-0.080274 	 74.000000 
-0.060585 	 75.000000 
-0.044815 	 76.000000 
-0.032490 	 77.000000 
-0.023086 	 78.000000 
-0.016078 	 79.000000 
-0.010974 	 80.000000 
-0.007342 	 81.000000 
-0.004814 	 82.000000 
-0.003093 	 83.000000 
-0.001948 	 84.000000 
-0.001203 	 85.000000 
-0.000728 	 86.000000 
-0.000432 	 87.000000 
-0.000251 	 88.000000 
-0.000143 	 89.000000 
-0.000080 	 90.000000 
-0.000044 	 91.000000 
0.000044 	 92.000000 
-0.000044 	 93.000000 
0.000044 	 94.000000 
-0.000044 	 95.000000 
0.000044 	 96.000000 
-0.000044 	 97.000000 
0.000044 	 98.000000 
-0.000044 	 99.000000 
0.000044 	 100.000000 
-0.000044 	 101.000000 
0.000044 	 102.000000 
-0.000044 	 103.000000 
0.000044 	 104.000000 
-0.000044 	 105.000000 
0.000044 	 106.000000 
-0.000044 	 107.000000 
0.000044 	 108.000000 
-0.000044 	 109.000000 
0.000044 	 110.000000 
-0.000044 	 111.000000 
0.000044 	 112.000000 
-0.000044 	 113.000000 
0.000044 	 114.000000 
-0.000044 	 115.000000 
0.000044 	 116.000000 
-0.000044 	 117.000000 
0.000044 	 118.000000 
-0.000044 	 119.000000 
0.000044 	 120.000000 
-0.000044 	 121.000000 
0.000044 	 122.000000 
-0.000043 	 123.000000 
0.000044 	 124.000000 
-0.000042 	 125.000000 
0.000047 	 126.000000 
-0.000037 	 127.000000 
0.000056 	 128.000000 
-0.000020 	 129.000000 
0.000087 	 130.000000 
0.000036 	 131.000000 
0.000187 	 132.000000 
0.000207 	 133.000000 
0.000475 	 134.000000 
0.000684 	 135.000000 
0.001246 	 136.000000 
0.001905 	 137.000000 
0.003137 	 138.000000 
0.004770 	 139.000000 
0.007385 	 140.000000 
0.010930 	 141.000000 
0.016121 	 142.000000 
0.023043 	 143.000000 
0.032534 	 144.000000 
0.044771 	 145.000000 
0.060628 	 146.000000 
0.080230 	 147.000000 
0.104289 	 148.000000 
0.132638 	 149.000000 
0.165559 	 150.000000 
0.202321 	 151.000000 
0.242537 	 152.000000 
0.284755 	 153.000000 
0.327871 	 154.000000 
0.369805 	 155.000000 
0.408996 	 156.000000 
0.443148 	 157.000000 
0.470783 	 158.000000 
0.490006 	 159.000000 
0.500044 	 160.000000 
0.499956 	 161.000000 
0.490093 	 162.000000 
0.470696 	 163.000000 
0.443235 	 164.000000 
0.408909 	 165.000000 
0.369892 	 166.000000 
0.327784 	 167.000000 
0.284842 	 168.000000 
0.242450 	 169.000000 
0.202408 	 170.000000 
0.165472 	 171.000000 
0.132726 	 172.000000 
0.104202 	 173.000000 
0.080318 	 174.000000 
0.060541 	 175.000000 
0.044858 	 176.000000 
0.032446 	 177.000000 
0.023130 	 178.000000 
0.016034 	 179.000000 
0.011018 	 180.000000 
0.007298 	 181.000000 
0.004857 	 182.000000 
0.003050 	 183.000000 
0.001992 	 184.000000 
0.001159 	 185.000000 
0.000771 	 186.000000 
0.000388 	 187.000000 
0.000294 	 188.000000 
0.000099 	 189.000000 
0.000123 	 190.000000 
0.000000 	 191.000000 
0.000000 	 192.000000 
0.000000 	 193.000000 
0.000000 	 194.000000 
0.000000 	 195.000000 
0.000000 	 196.000000 
0.000000 	 197.000000 
0.000000 	 198.000000 
0.000000 	 199.000000 
