Ez 	 x 
0.000000 	 0.000000 
-0.000000 	 1.000000 
0.000000 	 2.000000 
-0.000000 	 3.000000 
-0.000000 	 4.000000 
-0.000000 	 5.000000 
0.000000 	 6.000000 
-0.000000 	 7.000000 
0.000000 	 8.000000 
-0.000000 	 9.000000 
0.000000 	 10.000000 
-0.000000 	 11.000000 
-0.000000 	 12.000000 
-0.000000 	 13.000000 
-0.000000 	 14.000000 
-0.000000 	 15.000000 
-0.000000 	 16.000000 
-0.000000 	 17.000000 
-0.000000 	 18.000000 
-0.000000 	 19.000000 
-0.000000 	 20.000000 
-0.000000 	 21.000000 
-0.000000 	 22.000000 
-0.000000 	 23.000000 
-0.000000 	 24.000000 
-0.000000 	 25.000000 
-0.000000 	 26.000000 
-0.000000 	 27.000000 
-0.000000 	 28.000000 
-0.000000 	 29.000000 
-0.000000 	 30.000000 
-0.000000 	 31.000000 
-0.000000 	 32.000000 
-0.000000 	 33.000000 
-0.000001 	 34.000000 
-0.000002 	 35.000000 
-0.000003 	 36.000000 
-0.000006 	 37.000000 
-0.000012 	 38.000000 
-0.000023 	 39.000000 
-0.000044 	 40.000000 
-0.000080 	 41.000000 
-0.000143 	 42.000000 
-0.000251 	 43.000000 
-0.000432 	 44.000000 
-0.000728 	 45.000000 
-0.001203 	 46.000000 
-0.001948 	 47.000000 
-0.003093 	 48.000000 
-0.004814 	 49.000000 
-0.007342 	 50.000000 
-0.010974 	 51.000000 
-0.016078 	 52.000000 
-0.023086 	 53.000000 
-0.032490 	 54.000000 
-0.044815 	 55.000000 
-0.060585 	 56.000000 
-0.080274 	 57.000000 
-0.104246 	 58.000000 
-0.132682 	 59.000000 
-0.165515 	 60.000000 
-0.202364 	 61.000000 
-0.242494 	 62.000000 
-0.284799 	 63.000000 
-0.327828 	 64.000000 
-0.369849 	 65.000000 
-0.408952 	 66.000000 
-0.443192 	 67.000000 
-0.470740 	 68.000000 
-0.490050 	 69.000000 
-0.500000 	 70.000000 
-0.500000 	 71.000000 
-0.490050 	 72.000000 
-0.470740 	 73.000000 
-0.443192 	 74.000000 
-0.408952 	 75.000000 
-0.369849 	 76.000000 
-0.327828 	 77.000000 
-0.284799 	 78.000000 
-0.242494 	 79.000000 
-0.202364 	 80.000000 
-0.165515 	 81.000000 
-0.132682 	 82.000000 
-0.104246 	 83.000000 
-0.080274 	 84.000000 
-0.060585 	 85.000000 
-0.044815 	 86.000000 
-0.032490 	 87.000000 
-0.023086 	 88.000000 
-0.016078 	 89.000000 
-0.010974 	 90.000000 
-0.007342 	 91.000000 
-0.004814 	 92.000000 
-0.003093 	 93.000000 
-0.001948 	 94.000000 
-0.001203 	 95.000000 
-0.000728 	 96.000000 
-0.000432 	 97.000000 
-0.000251 	 98.000000 
-0.000143 	 99.000000 
-0.000080 	 100.000000 
-0.000044 	 101.000000 
0.000044 	 102.000000 
-0.000044 	 103.000000 
0.000044 	 104.000000 
-0.000044 	 105.000000 
0.000044 	 106.000000 
-0.000044 	 107.000000 
0.000044 	 108.000000 
-0.000044 	 109.000000 
0.000044 	 110.000000 
-0.000044 	 111.000000 
0.000044 	 112.000000 
-0.000044 	 113.000000 
0.000044 	 114.000000 
-0.000044 	 115.000000 
0.000044 	 116.000000 
-0.000044 	 117.000000 
0.000044 	 118.000000 
-0.000044 	 119.000000 
0.000044 	 120.000000 
-0.000044 	 121.000000 
0.000044 	 122.000000 
-0.000044 	 123.000000 
0.000044 	 124.000000 
-0.000044 	 125.000000 
0.000044 	 126.000000 
-0.000044 	 127.000000 
0.000044 	 128.000000 
-0.000044 	 129.000000 
0.000044 	 130.000000 
-0.000044 	 131.000000 
0.000044 	 132.000000 
-0.000043 	 133.000000 
0.000044 	 134.000000 
-0.000042 	 135.000000 
0.000047 	 136.000000 
-0.000037 	 137.000000 
0.000056 	 138.000000 
-0.000020 	 139.000000 
0.000087 	 140.000000 
0.000036 	 141.000000 
0.000187 	 142.000000 
0.000207 	 143.000000 
0.000475 	 144.000000 
0.000684 	 145.000000 
0.001246 	 146.000000 
0.001905 	 147.000000 
0.003137 	 148.000000 
0.004770 	 149.000000 
0.007385 	 150.000000 
0.010930 	 151.000000 
0.016121 	 152.000000 
0.023043 	 153.000000 
0.032534 	 154.000000 
0.044771 	 155.000000 
0.060628 	 156.000000 
0.080230 	 157.000000 
0.104289 	 158.000000 
0.132638 	 159.000000 
0.165559 	 160.000000 
0.202321 	 161.000000 
0.242537 	 162.000000 
0.284755 	 163.000000 
0.327871 	 164.000000 
0.369805 	 165.000000 
0.408996 	 166.000000 
0.443148 	 167.000000 
0.470783 	 168.000000 
0.490006 	 169.000000 
0.500044 	 170.000000 
0.499956 	 171.000000 
0.490093 	 172.000000 
0.470696 	 173.000000 
0.443235 	 174.000000 
0.408909 	 175.000000 
0.369892 	 176.000000 
0.327784 	 177.000000 
0.284842 	 178.000000 
0.242450 	 179.000000 
0.202408 	 180.000000 
0.165472 	 181.000000 
0.132726 	 182.000000 
0.104202 	 183.000000 
0.080318 	 184.000000 
0.060541 	 185.000000 
0.044858 	 186.000000 
0.032446 	 187.000000 
0.023130 	 188.000000 
0.016034 	 189.000000 
0.011018 	 190.000000 
0.007298 	 191.000000 
0.004857 	 192.000000 
0.003050 	 193.000000 
0.001992 	 194.000000 
0.001159 	 195.000000 
0.000771 	 196.000000 
0.000388 	 197.000000 
0.000294 	 198.000000 
0.000223 	 199.000000 
