Ez 	 x 
0.000000 	 0.000000 
0.000000 	 1.000000 
0.000000 	 2.000000 
-0.000000 	 3.000000 
-0.000000 	 4.000000 
-0.000000 	 5.000000 
-0.000000 	 6.000000 
-0.000000 	 7.000000 
-0.000000 	 8.000000 
-0.000000 	 9.000000 
-0.000000 	 10.000000 
-0.000000 	 11.000000 
-0.000000 	 12.000000 
-0.000000 	 13.000000 
-0.000000 	 14.000000 
-0.000000 	 15.000000 
0.000000 	 16.000000 
-0.000000 	 17.000000 
0.000000 	 18.000000 
-0.000000 	 19.000000 
0.000000 	 20.000000 
-0.000000 	 21.000000 
0.000000 	 22.000000 
-0.000000 	 23.000000 
-0.000000 	 24.000000 
-0.000000 	 25.000000 
0.000000 	 26.000000 
-0.000000 	 27.000000 
0.000000 	 28.000000 
-0.000000 	 29.000000 
0.000000 	 30.000000 
-0.000000 	 31.000000 
-0.000000 	 32.000000 
-0.000000 	 33.000000 
-0.000000 	 34.000000 
-0.000000 	 35.000000 
-0.000000 	 36.000000 
-0.000000 	 37.000000 
-0.000000 	 38.000000 
-0.000000 	 39.000000 
-0.000000 	 40.000000 
-0.000000 	 41.000000 
-0.000000 	 42.000000 
-0.000000 	 43.000000 
-0.000000 	 44.000000 
-0.000000 	 45.000000 
-0.000000 	 46.000000 
-0.000000 	 47.000000 
-0.000000 	 48.000000 
-0.000000 	 49.000000 
-0.000000 	 50.000000 
-0.000000 	 51.000000 
-0.000000 	 52.000000 
-0.000000 	 53.000000 
-0.000001 	 54.000000 
-0.000002 	 55.000000 
-0.000003 	 56.000000 
-0.000006 	 57.000000 
-0.000012 	 58.000000 
-0.000023 	 59.000000 
-0.000044 	 60.000000 
-0.000080 	 61.000000 
-0.000143 	 62.000000 
-0.000251 	 63.000000 
-0.000432 	 64.000000 
-0.000728 	 65.000000 
-0.001203 	 66.000000 
-0.001948 	 67.000000 
-0.003093 	 68.000000 
-0.004814 	 69.000000 
-0.007342 	 70.000000 
-0.010974 	 71.000000 
-0.016078 	 72.000000 
-0.023086 	 73.000000 
-0.032490 	 74.000000 
-0.044815 	 75.000000 
-0.060585 	 76.000000 
-0.080274 	 77.000000 
-0.104246 	 78.000000 
-0.132682 	 79.000000 
-0.165515 	 80.000000 
-0.202364 	 81.000000 
-0.242494 	 82.000000 
-0.284799 	 83.000000 
-0.327828 	 84.000000 
-0.369849 	 85.000000 
-0.408952 	 86.000000 
-0.443192 	 87.000000 
-0.470740 	 88.000000 
-0.490050 	 89.000000 
-0.500000 	 90.000000 
-0.500000 	 91.000000 
-0.490050 	 92.000000 
-0.470740 	 93.000000 
-0.443192 	 94.000000 
-0.408952 	 95.000000 
-0.369849 	 96.000000 
-0.327828 	 97.000000 
-0.284799 	 98.000000 
-0.242494 	 99.000000 
-0.202364 	 100.000000 
-0.165515 	 101.000000 
-0.132682 	 102.000000 
-0.104246 	 103.000000 
-0.080274 	 104.000000 
-0.060585 	 105.000000 
-0.044815 	 106.000000 
-0.032490 	 107.000000 
-0.023086 	 108.000000 
-0.016078 	 109.000000 
-0.010974 	 110.000000 
-0.007342 	 111.000000 
-0.004814 	 112.000000 
-0.003093 	 113.000000 
-0.001948 	 114.000000 
-0.001203 	 115.000000 
-0.000728 	 116.000000 
-0.000432 	 117.000000 
-0.000251 	 118.000000 
-0.000143 	 119.000000 
-0.000080 	 120.000000 
-0.000044 	 121.000000 
0.000044 	 122.000000 
-0.000044 	 123.000000 
0.000044 	 124.000000 
-0.000044 	 125.000000 
0.000044 	 126.000000 
-0.000044 	 127.000000 
0.000044 	 128.000000 
-0.000044 	 129.000000 
0.000044 	 130.000000 
-0.000044 	 131.000000 
0.000044 	 132.000000 
-0.000044 	 133.000000 
0.000044 	 134.000000 
-0.000044 	 135.000000 
0.000044 	 136.000000 
-0.000044 	 137.000000 
0.000044 	 138.000000 
-0.000044 	 139.000000 
0.000044 	 140.000000 
-0.000044 	 141.000000 
0.000044 	 142.000000 
-0.000044 	 143.000000 
0.000044 	 144.000000 
-0.000044 	 145.000000 
0.000044 	 146.000000 
-0.000044 	 147.000000 
0.000044 	 148.000000 
-0.000044 	 149.000000 
0.000044 	 150.000000 
-0.000044 	 151.000000 
0.000044 	 152.000000 
-0.000043 	 153.000000 
0.000044 	 154.000000 
-0.000042 	 155.000000 
0.000047 	 156.000000 
-0.000037 	 157.000000 
0.000056 	 158.000000 
-0.000020 	 159.000000 
0.000087 	 160.000000 
0.000036 	 161.000000 
0.000187 	 162.000000 
0.000207 	 163.000000 
0.000475 	 164.000000 
0.000684 	 165.000000 
0.001246 	 166.000000 
0.001905 	 167.000000 
0.003137 	 168.000000 
0.004770 	 169.000000 
0.007385 	 170.000000 
0.010930 	 171.000000 
0.016121 	 172.000000 
0.023043 	 173.000000 
0.032534 	 174.000000 
0.044771 	 175.000000 
0.060628 	 176.000000 
0.080230 	 177.000000 
0.104289 	 178.000000 
0.132762 	 179.000000 
0.165658 	 180.000000 
0.202615 	 181.000000 
0.242925 	 182.000000 
0.285526 	 183.000000 
0.329031 	 184.000000 
0.371797 	 185.000000 
0.412046 	 186.000000 
0.448005 	 187.000000 
0.478081 	 188.000000 
0.501024 	 189.000000 
0.516078 	 190.000000 
0.523086 	 191.000000 
0.522540 	 192.000000 
0.515554 	 193.000000 
0.503776 	 194.000000 
0.489226 	 195.000000 
0.474094 	 196.000000 
0.460510 	 197.000000 
0.450314 	 198.000000 
0.444858 	 199.000000 
