Ez 	 x 
0.000000 	 0.000000 
0.000000 	 1.000000 
0.000000 	 2.000000 
-0.000000 	 3.000000 
-0.000000 	 4.000000 
-0.000000 	 5.000000 
-0.000000 	 6.000000 
-0.000000 	 7.000000 
-0.000000 	 8.000000 
-0.000000 	 9.000000 
-0.000000 	 10.000000 
-0.000000 	 11.000000 
-0.000000 	 12.000000 
-0.000000 	 13.000000 
-0.000000 	 14.000000 
-0.000000 	 15.000000 
-0.000000 	 16.000000 
-0.000000 	 17.000000 
-0.000000 	 18.000000 
-0.000000 	 19.000000 
-0.000000 	 20.000000 
-0.000000 	 21.000000 
-0.000000 	 22.000000 
-0.000000 	 23.000000 
-0.000000 	 24.000000 
-0.000000 	 25.000000 
0.000000 	 26.000000 
-0.000000 	 27.000000 
0.000000 	 28.000000 
-0.000000 	 29.000000 
0.000000 	 30.000000 
-0.000000 	 31.000000 
0.000000 	 32.000000 
-0.000000 	 33.000000 
-0.000000 	 34.000000 
-0.000000 	 35.000000 
0.000000 	 36.000000 
-0.000000 	 37.000000 
0.000000 	 38.000000 
-0.000000 	 39.000000 
0.000000 	 40.000000 
-0.000000 	 41.000000 
-0.000000 	 42.000000 
-0.000000 	 43.000000 
-0.000000 	 44.000000 
-0.000000 	 45.000000 
-0.000000 	 46.000000 
-0.000000 	 47.000000 
-0.000000 	 48.000000 
-0.000000 	 49.000000 
-0.000000 	 50.000000 
-0.000000 	 51.000000 
-0.000000 	 52.000000 
-0.000000 	 53.000000 
-0.000000 	 54.000000 
-0.000000 	 55.000000 
-0.000000 	 56.000000 
-0.000000 	 57.000000 
-0.000000 	 58.000000 
-0.000000 	 59.000000 
-0.000000 	 60.000000 
-0.000000 	 61.000000 
-0.000000 	 62.000000 
-0.000000 	 63.000000 
-0.000001 	 64.000000 
-0.000002 	 65.000000 
-0.000003 	 66.000000 
-0.000006 	 67.000000 
-0.000012 	 68.000000 
-0.000023 	 69.000000 
-0.000044 	 70.000000 
-0.000080 	 71.000000 
-0.000143 	 72.000000 
-0.000251 	 73.000000 
-0.000432 	 74.000000 
-0.000728 	 75.000000 
-0.001203 	 76.000000 
-0.001948 	 77.000000 
-0.003093 	 78.000000 
-0.004814 	 79.000000 
-0.007342 	 80.000000 
-0.010974 	 81.000000 
-0.016078 	 82.000000 
-0.023086 	 83.000000 
-0.032490 	 84.000000 
-0.044815 	 85.000000 
-0.060585 	 86.000000 
-0.080274 	 87.000000 
-0.104246 	 88.000000 
-0.132682 	 89.000000 
-0.165515 	 90.000000 
-0.202364 	 91.000000 
-0.242494 	 92.000000 
-0.284799 	 93.000000 
-0.327828 	 94.000000 
-0.369849 	 95.000000 
-0.408952 	 96.000000 
-0.443192 	 97.000000 
-0.470740 	 98.000000 
-0.490050 	 99.000000 
-0.500000 	 100.000000 
-0.500000 	 101.000000 
-0.490050 	 102.000000 
-0.470740 	 103.000000 
-0.443192 	 104.000000 
-0.408952 	 105.000000 
-0.369849 	 106.000000 
-0.327828 	 107.000000 
-0.284799 	 108.000000 
-0.242494 	 109.000000 
-0.202364 	 110.000000 
-0.165515 	 111.000000 
-0.132682 	 112.000000 
-0.104246 	 113.000000 
-0.080274 	 114.000000 
-0.060585 	 115.000000 
-0.044815 	 116.000000 
-0.032490 	 117.000000 
-0.023086 	 118.000000 
-0.016078 	 119.000000 
-0.010974 	 120.000000 
-0.007342 	 121.000000 
-0.004814 	 122.000000 
-0.003093 	 123.000000 
-0.001948 	 124.000000 
-0.001203 	 125.000000 
-0.000728 	 126.000000 
-0.000432 	 127.000000 
-0.000251 	 128.000000 
-0.000143 	 129.000000 
-0.000080 	 130.000000 
-0.000044 	 131.000000 
0.000044 	 132.000000 
-0.000044 	 133.000000 
0.000044 	 134.000000 
-0.000044 	 135.000000 
0.000044 	 136.000000 
-0.000044 	 137.000000 
0.000044 	 138.000000 
-0.000044 	 139.000000 
0.000044 	 140.000000 
-0.000044 	 141.000000 
0.000044 	 142.000000 
-0.000044 	 143.000000 
0.000044 	 144.000000 
-0.000044 	 145.000000 
0.000044 	 146.000000 
-0.000044 	 147.000000 
0.000044 	 148.000000 
-0.000044 	 149.000000 
0.000044 	 150.000000 
-0.000044 	 151.000000 
0.000044 	 152.000000 
-0.000044 	 153.000000 
0.000044 	 154.000000 
-0.000044 	 155.000000 
0.000044 	 156.000000 
-0.000044 	 157.000000 
0.000044 	 158.000000 
-0.000044 	 159.000000 
0.000044 	 160.000000 
-0.000044 	 161.000000 
0.000044 	 162.000000 
-0.000043 	 163.000000 
0.000044 	 164.000000 
-0.000042 	 165.000000 
0.000047 	 166.000000 
-0.000037 	 167.000000 
0.000056 	 168.000000 
0.000103 	 169.000000 
0.000187 	 170.000000 
0.000331 	 171.000000 
0.000574 	 172.000000 
0.000979 	 173.000000 
0.001634 	 174.000000 
0.002676 	 175.000000 
0.004296 	 176.000000 
0.006762 	 177.000000 
0.010435 	 178.000000 
0.015788 	 179.000000 
0.023419 	 180.000000 
0.034060 	 181.000000 
0.048568 	 182.000000 
0.067901 	 183.000000 
0.093075 	 184.000000 
0.125089 	 185.000000 
0.164830 	 186.000000 
0.212956 	 187.000000 
0.269761 	 188.000000 
0.335046 	 189.000000 
0.408009 	 190.000000 
0.487163 	 191.000000 
0.570322 	 192.000000 
0.654647 	 193.000000 
0.736780 	 194.000000 
0.813040 	 195.000000 
0.879692 	 196.000000 
0.933241 	 197.000000 
0.970740 	 198.000000 
0.990050 	 199.000000 
