Ez 	 x 
0.000000 	 0.000000 
0.000000 	 1.000000 
0.000000 	 2.000000 
-0.000000 	 3.000000 
-0.000000 	 4.000000 
-0.000000 	 5.000000 
-0.000000 	 6.000000 
-0.000000 	 7.000000 
-0.000000 	 8.000000 
-0.000000 	 9.000000 
-0.000000 	 10.000000 
-0.000000 	 11.000000 
-0.000000 	 12.000000 
-0.000000 	 13.000000 
-0.000000 	 14.000000 
-0.000000 	 15.000000 
-0.000000 	 16.000000 
-0.000000 	 17.000000 
-0.000000 	 18.000000 
-0.000000 	 19.000000 
-0.000000 	 20.000000 
-0.000000 	 21.000000 
-0.000000 	 22.000000 
-0.000000 	 23.000000 
-0.000000 	 24.000000 
-0.000000 	 25.000000 
-0.000000 	 26.000000 
-0.000000 	 27.000000 
-0.000000 	 28.000000 
-0.000000 	 29.000000 
-0.000000 	 30.000000 
-0.000000 	 31.000000 
-0.000000 	 32.000000 
-0.000000 	 33.000000 
-0.000000 	 34.000000 
-0.000000 	 35.000000 
0.000000 	 36.000000 
-0.000000 	 37.000000 
0.000000 	 38.000000 
-0.000000 	 39.000000 
0.000000 	 40.000000 
-0.000000 	 41.000000 
0.000000 	 42.000000 
-0.000000 	 43.000000 
-0.000000 	 44.000000 
-0.000000 	 45.000000 
0.000000 	 46.000000 
-0.000000 	 47.000000 
0.000000 	 48.000000 
-0.000000 	 49.000000 
0.000000 	 50.000000 
-0.000000 	 51.000000 
-0.000000 	 52.000000 
-0.000000 	 53.000000 
-0.000000 	 54.000000 
-0.000000 	 55.000000 
-0.000000 	 56.000000 
-0.000000 	 57.000000 
-0.000000 	 58.000000 
-0.000000 	 59.000000 
-0.000000 	 60.000000 
-0.000000 	 61.000000 
-0.000000 	 62.000000 
-0.000000 	 63.000000 
-0.000000 	 64.000000 
-0.000000 	 65.000000 
-0.000000 	 66.000000 
-0.000000 	 67.000000 
-0.000000 	 68.000000 
-0.000000 	 69.000000 
-0.000000 	 70.000000 
-0.000000 	 71.000000 
-0.000000 	 72.000000 
-0.000000 	 73.000000 
-0.000001 	 74.000000 
-0.000002 	 75.000000 
-0.000003 	 76.000000 
-0.000006 	 77.000000 
-0.000012 	 78.000000 
-0.000023 	 79.000000 
-0.000044 	 80.000000 
-0.000080 	 81.000000 
-0.000143 	 82.000000 
-0.000251 	 83.000000 
-0.000432 	 84.000000 
-0.000728 	 85.000000 
-0.001203 	 86.000000 
-0.001948 	 87.000000 
-0.003093 	 88.000000 
-0.004814 	 89.000000 
-0.007342 	 90.000000 
-0.010974 	 91.000000 
-0.016078 	 92.000000 
-0.023086 	 93.000000 
-0.032490 	 94.000000 
-0.044815 	 95.000000 
-0.060585 	 96.000000 
-0.080274 	 97.000000 
-0.104246 	 98.000000 
-0.132682 	 99.000000 
-0.165515 	 100.000000 
-0.202364 	 101.000000 
-0.242494 	 102.000000 
-0.284799 	 103.000000 
-0.327828 	 104.000000 
-0.369849 	 105.000000 
-0.408952 	 106.000000 
-0.443192 	 107.000000 
-0.470740 	 108.000000 
-0.490050 	 109.000000 
-0.500000 	 110.000000 
-0.500000 	 111.000000 
-0.490050 	 112.000000 
-0.470740 	 113.000000 
-0.443192 	 114.000000 
-0.408952 	 115.000000 
-0.369849 	 116.000000 
-0.327828 	 117.000000 
-0.284799 	 118.000000 
-0.242494 	 119.000000 
-0.202364 	 120.000000 
-0.165515 	 121.000000 
-0.132682 	 122.000000 
-0.104246 	 123.000000 
-0.080274 	 124.000000 
-0.060585 	 125.000000 
-0.044815 	 126.000000 
-0.032490 	 127.000000 
-0.023086 	 128.000000 
-0.016078 	 129.000000 
-0.010974 	 130.000000 
-0.007342 	 131.000000 
-0.004814 	 132.000000 
-0.003093 	 133.000000 
-0.001948 	 134.000000 
-0.001203 	 135.000000 
-0.000728 	 136.000000 
-0.000432 	 137.000000 
-0.000251 	 138.000000 
-0.000143 	 139.000000 
-0.000080 	 140.000000 
-0.000044 	 141.000000 
0.000044 	 142.000000 
-0.000044 	 143.000000 
0.000044 	 144.000000 
-0.000044 	 145.000000 
0.000044 	 146.000000 
-0.000044 	 147.000000 
0.000044 	 148.000000 
-0.000044 	 149.000000 
0.000044 	 150.000000 
-0.000044 	 151.000000 
0.000044 	 152.000000 
-0.000044 	 153.000000 
0.000044 	 154.000000 
-0.000044 	 155.000000 
0.000044 	 156.000000 
-0.000044 	 157.000000 
0.000044 	 158.000000 
0.000080 	 159.000000 
0.000143 	 160.000000 
0.000251 	 161.000000 
0.000432 	 162.000000 
0.000728 	 163.000000 
0.001203 	 164.000000 
0.001948 	 165.000000 
0.003093 	 166.000000 
0.004814 	 167.000000 
0.007342 	 168.000000 
0.010974 	 169.000000 
0.016078 	 170.000000 
0.023086 	 171.000000 
0.032490 	 172.000000 
0.044815 	 173.000000 
0.060585 	 174.000000 
0.080275 	 175.000000 
0.104249 	 176.000000 
0.132688 	 177.000000 
0.165527 	 178.000000 
0.202388 	 179.000000 
0.242537 	 180.000000 
0.284878 	 181.000000 
0.327971 	 182.000000 
0.370099 	 183.000000 
0.409384 	 184.000000 
0.443919 	 185.000000 
0.471942 	 186.000000 
0.491998 	 187.000000 
0.503093 	 188.000000 
0.504814 	 189.000000 
0.497391 	 190.000000 
0.481714 	 191.000000 
0.459269 	 192.000000 
0.432038 	 193.000000 
0.402339 	 194.000000 
0.372642 	 195.000000 
0.345383 	 196.000000 
0.322768 	 197.000000 
0.306610 	 198.000000 
0.298197 	 199.000000 
